_id,ltable_a_id,rtable_person_id,ltable_a_name,ltable_a_country,ltable_a_city,ltable_a_prov,ltable_a_web,rtable_a_name,rtable_a_country,rtable_a_city,rtable_a_prov,rtable_a_email_server,gold_label,,,,,,,,,,,,
866,12636,54542,new york chiropractic college,united states,seneca falls,new york,http://www.nycc.edu,new york university,united states,new york,new york,stern.nyu.edu,0,0,FALSE,new york chiropractic college,new york university,united states,united states,seneca falls,new york,new york,new york,http://www.nycc.edu,stern.nyu.edu
875,12642,2133,new york law school,united states,new york,new york,http://www.nyls.edu,new york university,united states,great neck,new york,stern.nyu.edu,0,0,FALSE,new york law school,new york university,united states,united states,new york,great neck,new york,new york,http://www.nyls.edu,stern.nyu.edu
896,12642,2379,new york law school,united states,new york,new york,http://www.nyls.edu,university albany state university new york,united states,albany,new york,albany.edu,0,0,FALSE,new york law school,university albany state university new york,united states,united states,new york,albany,new york,new york,http://www.nyls.edu,albany.edu
900,12642,33988,new york law school,united states,new york,new york,http://www.nyls.edu,baruch college city university new york,united states,new york,new york,baruch.cuny.edu,0,0,FALSE,new york law school,baruch college city university new york,united states,united states,new york,new york,new york,new york,http://www.nyls.edu,baruch.cuny.edu
946,23523,27308,union schools paraiso faculty sao paulo new centre,brazil,sao paulo,sp,http://www.faculdadedesaopaulo.edu.br/centronovo/index.asp,university de sao paulo,brazil,sao paulo,sp,uol.com.br,0,0,FALSE,union schools paraiso faculty sao paulo new centre,university de sao paulo,brazil,brazil,sao paulo,sao paulo,sp,sp,http://www.faculdadedesaopaulo.edu.br/centronovo/index.asp,uol.com.br
964,12769,6881,north carolina central university,united states,durham,north carolina,http://www.nccu.edu,university north carolina chapel hill,united states,chapel hill,north carolina,unc.edu,0,0,FALSE,north carolina central university,university north carolina chapel hill,united states,united states,durham,chapel hill,north carolina,north carolina,http://www.nccu.edu,unc.edu
967,12769,230,north carolina central university,united states,durham,north carolina,http://www.nccu.edu,university north carolina charlotte,united states,charlotte,north carolina,uncc.edu,0,0,FALSE,north carolina central university,university north carolina charlotte,united states,united states,durham,charlotte,north carolina,north carolina,http://www.nccu.edu,uncc.edu
980,12769,35303,north carolina central university,united states,durham,north carolina,http://www.nccu.edu,university north carolina chapel hill,united states,chapel hill,north carolina,unc.edu,0,0,FALSE,north carolina central university,university north carolina chapel hill,united states,united states,durham,chapel hill,north carolina,north carolina,http://www.nccu.edu,unc.edu
987,12769,2525,north carolina central university,united states,durham,north carolina,http://www.nccu.edu,north carolina a t state university,united states,greensboro,north carolina,ncat.edu,0,0,FALSE,north carolina central university,north carolina a t state university,united states,united states,durham,greensboro,north carolina,north carolina,http://www.nccu.edu,ncat.edu
996,12770,50912,north carolina state university,united states,raleigh,north carolina,http://www.ncsu.edu,university north carolina charlotte,united states,charlotte,north carolina,uncc.edu,0,0,FALSE,north carolina state university,university north carolina charlotte,united states,united states,raleigh,charlotte,north carolina,north carolina,http://www.ncsu.edu,uncc.edu
997,12770,55758,north carolina state university,united states,raleigh,north carolina,http://www.ncsu.edu,university north carolina chapel hill,united states,chapel hill,north carolina,gmail.com,0,0,FALSE,north carolina state university,university north carolina chapel hill,united states,united states,raleigh,chapel hill,north carolina,north carolina,http://www.ncsu.edu,gmail.com
1006,12770,14691,north carolina state university,united states,raleigh,north carolina,http://www.ncsu.edu,university north carolina,united states,chapel hill,north carolina,unc.edu,0,0,FALSE,north carolina state university,university north carolina,united states,united states,raleigh,chapel hill,north carolina,north carolina,http://www.ncsu.edu,unc.edu
1019,12770,21999,north carolina state university,united states,raleigh,north carolina,http://www.ncsu.edu,university north carolina,united states,greensboro,north carolina,uncg.edu,0,0,FALSE,north carolina state university,university north carolina,united states,united states,raleigh,greensboro,north carolina,north carolina,http://www.ncsu.edu,uncg.edu
1068,1533,31752,beijing technology business university,china,beijing,,http://www.btbu.edu.cn,university science and technology beijing,china,beijing,,manage.ustb.edu.cn,0,0,FALSE,beijing technology business university,university science and technology beijing,china,china,beijing,beijing,0,0,http://www.btbu.edu.cn,manage.ustb.edu.cn
1094,12815,9877,northern alberta institute technology,canada,edmonton,alberta,http://www.nait.ca/,northern alberta institute technology,canada,winnipeg,mb,nait.edu,1,0,TRUE,,,,,,,,,,
1182,12872,54906,northwestern university,united states,evanston,illinois,http://www.northwestern.edu,northwestern university,united states,evanston,illinois,northwestern.edu,1,16,TRUE,,,,,,,,,,
1191,1615,40016,university applied sciences berner fachhochschule,switzerland,bern,,http://www.bfh.ch,bern university applied sciences,switzerland,bern,bern,alumni.unisg.ch,0,0,FALSE,university applied sciences berner fachhochschule,bern university applied sciences,switzerland,switzerland,bern,bern,0,bern,http://www.bfh.ch,alumni.unisg.ch
1199,12895,44811,nottingham trent university,united kingdom,nottingham,,http://www.ntu.ac.uk,university nottingham,united kingdom,nottingham,,nottingham.ac.uk,0,0,FALSE,nottingham trent university,university nottingham,united kingdom,united kingdom,nottingham,nottingham,0,0,http://www.ntu.ac.uk,nottingham.ac.uk
1212,12900,1717,nova southeastern university,united states,fort lauderdale,florida,http://www.nova.edu,nova southeastern university,united states,fort lauderdale,florida,nova.edu,1,8,TRUE,,,,,,,,,,
1298,1732,37439,boston university,united states,boston,massachusetts,http://www.bu.edu,boston university,united states,boston,massachusetts,bu.edu,1,6,TRUE,,,,,,,,,,
1305,1732,6472,boston university,united states,boston,massachusetts,http://www.bu.edu,university massachusetts boston,united states,boston,massachusetts,umb.edu,0,0,FALSE,boston university,university massachusetts boston,united states,united states,boston,boston,massachusetts,massachusetts,http://www.bu.edu,umb.edu
1315,1732,42515,boston university,united states,boston,massachusetts,http://www.bu.edu,boston college,united states,boston,massachusetts,bc.edu,0,0,FALSE,boston university,boston college,united states,united states,boston,boston,massachusetts,massachusetts,http://www.bu.edu,bc.edu
1378,1765,23537,brigham young university,united states,provo,utah,http://www.byu.edu,brigham young university,united states,provo,utah,byu.edu,1,7,TRUE,,,,,,,,,,
1395,13059,1065,dublin city university,ireland,dublin,,http://www.dcu.ie,university college dublin,ireland,dublin,,ucd.ie,0,0,FALSE,dublin city university,university college dublin,ireland,ireland,dublin,dublin,0,0,http://www.dcu.ie,ucd.ie
1410,13069,1065,national university ireland university college dublin,ireland,dublin,,http://www.ucd.ie,university college dublin,ireland,dublin,,ucd.ie,?,6,FALSE,national university ireland university college dublin,university college dublin,ireland,ireland,dublin,dublin,0,0,http://www.ucd.ie,ucd.ie
1413,13069,33496,national university ireland university college dublin,ireland,dublin,,http://www.ucd.ie,national university ireland maynooth,ireland,maynooth,,nuim.ie,0,0,FALSE,national university ireland university college dublin,national university ireland maynooth,ireland,ireland,dublin,maynooth,0,0,http://www.ucd.ie,nuim.ie
1426,13113,39564,oregon state university,united states,corvallis,oregon,http://www.oregonstate.edu,oregon state university,united states,corvallis,oregon,bus.oregonstate.edu,1,0,TRUE,,,,,,,,,,
1431,13113,14406,oregon state university,united states,corvallis,oregon,http://www.oregonstate.edu,university oregon,united states,eugene,oregon,uoregon.edu,0,0,FALSE,oregon state university,university oregon,united states,united states,corvallis,eugene,oregon,oregon,http://www.oregonstate.edu,uoregon.edu
1435,23982,59272,getulio vargas foundation,brazil,rio de janeiro,,http://portal.fgv.br,fundacao getulio vargas,brazil,sao paulo,sao paulo,gmail.com,0,0,FALSE,getulio vargas foundation,fundacao getulio vargas,brazil,brazil,rio de janeiro,sao paulo,0,sao paulo,http://portal.fgv.br,gmail.com
1452,1904,25091,california polytechnic state university san luis obispo,united states,san luis obispo,california,http://www.calpoly.edu,california polytechnic state university,united states,san luis obispo,california,calpoly.edu,1,11,FALSE,california polytechnic state university san luis obispo,california polytechnic state university,united states,united states,san luis obispo,san luis obispo,california,california,http://www.calpoly.edu,calpoly.edu
1456,1904,24864,california polytechnic state university san luis obispo,united states,san luis obispo,california,http://www.calpoly.edu,san jose state university,united states,san jose,california,gmail.com,0,0,FALSE,california polytechnic state university san luis obispo,san jose state university,united states,united states,san luis obispo,san jose,california,california,http://www.calpoly.edu,gmail.com
1466,1904,8640,california polytechnic state university san luis obispo,united states,san luis obispo,california,http://www.calpoly.edu,california polytechnic state university san luis obispo,united states,san luis obispo,california,calpoly.edu,1,11,TRUE,,,,,,,,,,
1474,1904,33931,california polytechnic state university san luis obispo,united states,san luis obispo,california,http://www.calpoly.edu,cal poly san luis obispo,united states,san luis obispo,california,calpoly.edu,1,11,FALSE,california polytechnic state university san luis obispo,cal poly san luis obispo,united states,united states,san luis obispo,san luis obispo,california,california,http://www.calpoly.edu,calpoly.edu
1475,1906,25091,california state polytechnic university pomona,united states,pomona,california,http://www.csupomona.edu,california polytechnic state university,united states,san luis obispo,california,calpoly.edu,0,0,FALSE,california state polytechnic university pomona,california polytechnic state university,united states,united states,pomona,san luis obispo,california,california,http://www.csupomona.edu,calpoly.edu
1489,1907,5959,california state university bakersfield,united states,bakersfield,california,http://www.csub.edu,california state polytechnic university pomona,united states,pomona,california,csupomona.edu,0,0,FALSE,california state university bakersfield,california state polytechnic university pomona,united states,united states,bakersfield,pomona,california,california,http://www.csub.edu,csupomona.edu
1508,1913,3910,california state university fullerton,united states,fullerton,california,http://www.fullerton.edu,california state university san marcos,united states,oceanside,california,csusm.edu,0,0,FALSE,california state university fullerton,california state university san marcos,united states,united states,fullerton,oceanside,california,california,http://www.fullerton.edu,csusm.edu
1546,13203,10398,university oulu,finland,oulu,,http://www.oulu.fi/yliopisto,university oulu business school,finland,oulu,,oulu.fi,1,7,FALSE,university oulu,university oulu business school,finland,finland,oulu,oulu,0,0,http://www.oulu.fi/yliopisto,oulu.fi
1548,1912,24074,california state university fresno,united states,fresno,california,http://www.csufresno.edu,california state university long beach,united states,long beach,california,csulb.edu,0,0,FALSE,california state university fresno,california state university long beach,united states,united states,fresno,long beach,california,california,http://www.csufresno.edu,csulb.edu
1564,1914,29364,california state university long beach,united states,long beach,california,http://www.csulb.edu,california state university northridge,united states,northridge,california,gmail.com,0,0,FALSE,california state university long beach,california state university northridge,united states,united states,long beach,northridge,california,california,http://www.csulb.edu,gmail.com
1581,1920,5384,california state university san marcos,united states,san marcos,california,http://www.csusm.edu,san diego state university,united states,san diego,california,mail.sdsu.edu,0,0,FALSE,california state university san marcos,san diego state university,united states,united states,san marcos,san diego,california,california,http://www.csusm.edu,mail.sdsu.edu
1607,13243,53309,school teacher education university applied sciences st gallen,switzerland,st. gallen,,http://www.phsg.ch,university st gallen,switzerland,st. gallen,,unisg.ch,0,0,FALSE,school teacher education university applied sciences st gallen,university st gallen,switzerland,switzerland,st. gallen,st. gallen,0,0,http://www.phsg.ch,unisg.ch
1628,13242,48452,university teacher education bern,switzerland,bern,,http://www.phbern.ch,university bern,switzerland,bern,,iop.unibe.ch,0,0,FALSE,university teacher education bern,university bern,switzerland,switzerland,bern,bern,0,0,http://www.phbern.ch,iop.unibe.ch
1691,2080,16080,central michigan university,united states,mount pleasant,michigan,http://www.cmich.edu,university michigan,united states,ann arbor,michigan,umich.edu,0,0,FALSE,central michigan university,university michigan,united states,united states,mount pleasant,ann arbor,michigan,michigan,http://www.cmich.edu,umich.edu
1735,13417,57806,peking university,china,beijing,,http://www.pku.edu.cn,peking university,china,beijing,,163.com,1,0,TRUE,,,,,,,,,,
1747,13422,35684,pennsylvania college art design,united states,lancaster,pennsylvania,http://www.pcad.edu,university pennsylvania,united states,philadelphia,pennsylvania,wharton.upenn.edu,0,0,FALSE,pennsylvania college art design,university pennsylvania,united states,united states,lancaster,philadelphia,pennsylvania,pennsylvania,http://www.pcad.edu,wharton.upenn.edu
1758,13422,6447,pennsylvania college art design,united states,lancaster,pennsylvania,http://www.pcad.edu,university pennsylvania,united states,philadelphia,pennsylvania,wharton.upenn.edu,0,0,FALSE,pennsylvania college art design,university pennsylvania,united states,united states,lancaster,philadelphia,pennsylvania,pennsylvania,http://www.pcad.edu,wharton.upenn.edu
1775,13581,56790,technical university milan,italy,milano,,http://www.polimi.it,university milan,italy,milano,,unimi.it,0,0,FALSE,technical university milan,university milan,italy,italy,milano,milano,0,0,http://www.polimi.it,unimi.it
1844,13839,19174,queen margaret university edinburgh,united kingdom,edinburgh,,http://www.qmu.ac.uk,university edinburgh,united kingdom,edinburgh,uk,ed.ac.uk,0,0,FALSE,queen margaret university edinburgh,university edinburgh,united kingdom,united kingdom,edinburgh,edinburgh,0,uk,http://www.qmu.ac.uk,ed.ac.uk
1875,13886,49946,rajiv gandhi indian institute management shillong,india,shillong,meghalaya,http://www.iimshillong.in/,indian institute management bangalore,india,bangalore,,iimb.ernet.in,0,0,FALSE,rajiv gandhi indian institute management shillong,indian institute management bangalore,india,india,shillong,bangalore,meghalaya,0,http://www.iimshillong.in/,iimb.ernet.in
1899,13965,35547,remington college colorado springs,united states,colorado springs,colorado,http://www.remingtoncollege.edu,university colorado colorado springs,united states,colorado springs,colorado,uccs.edu,0,0,FALSE,remington college colorado springs,university colorado colorado springs,united states,united states,colorado springs,colorado springs,colorado,colorado,http://www.remingtoncollege.edu,uccs.edu
1900,13965,59973,remington college colorado springs,united states,colorado springs,colorado,http://www.remingtoncollege.edu,university colorado,united states,denver,colorado,ucdenver.edu,0,0,FALSE,remington college colorado springs,university colorado,united states,united states,colorado springs,denver,colorado,colorado,http://www.remingtoncollege.edu,ucdenver.edu
1903,13971,58452,renmin university china,china,beijing,,http://www.ruc.edu.cn,renmin university china,china,beijing,,sohu.com,1,0,TRUE,,,,,,,,,,
1904,13971,56645,renmin university china,china,beijing,,http://www.ruc.edu.cn,renmin university china,china,beijing,,foxmail.com,1,0,TRUE,,,,,,,,,,
1933,13981,58420,rwth aachen university,germany,aachen,,http://www.rwth-aachen.de,rwth aachen university,germany,aachen,,time.rwth-aachen.de,1,0,TRUE,,,,,,,,,,
1948,2695,36813,cheyney university pennsylvania,united states,cheyney,pennsylvania,http://www.cheyney.edu,university pennsylvania,united states,philadelphia,pennsylvania,wharton.upenn.edu,0,0,FALSE,cheyney university pennsylvania,university pennsylvania,united states,united states,cheyney,philadelphia,pennsylvania,pennsylvania,http://www.cheyney.edu,wharton.upenn.edu
1959,13992,4975,rice university,united states,houston,texas,http://www.rice.edu,rice university,united states,houston,texas,rice.edu,1,8,TRUE,,,,,,,,,,
1960,13992,59552,rice university,united states,houston,texas,http://www.rice.edu,rice university,united states,houston,texas,rice.edu,1,8,TRUE,,,,,,,,,,
1980,14006,59101,university groningen,netherlands,groningen,,http://www.rug.nl,groningen university rug,netherlands,groningen,,student.rug.nl,0,0,FALSE,university groningen,groningen university rug,netherlands,netherlands,groningen,groningen,0,0,http://www.rug.nl,student.rug.nl
2001,14092,43783,russian national research medical university named after n i pirogov,russian federation,moskva,,http://www.rsmu.ru,national research university,russian federation,moscow,,dol.ru,0,0,FALSE,russian national research medical university named after n i pirogov,national research university,russian federation,russian federation,moskva,moscow,0,0,http://www.rsmu.ru,dol.ru
2009,14110,17923,rowan university,united states,glassboro,new jersey,http://www.rowan.edu,rowan university,united states,glassboro,new jersey,rowan.edu,1,9,TRUE,,,,,,,,,,
2050,2840,38531,city university hong kong,hong kong,hong kong,hong kong sar,http://www.cityu.edu.hk,university hong kong,hong kong,hong kong,,hku.hk,0,0,FALSE,city university hong kong,university hong kong,hong kong,hong kong,hong kong,hong kong,hong kong sar,0,http://www.cityu.edu.hk,hku.hk
2058,2840,51583,city university hong kong,hong kong,hong kong,hong kong sar,http://www.cityu.edu.hk,city university hong kong,hong kong,hong kong,,cityu.edu.hk,1,12,TRUE,,,,,,,,,,
2113,14151,14413,rutgers state university new jersey new brunswick campus,united states,new brunswick,new jersey,http://nb.rutgers.edu,rutgers university,united states,newark,new jersey,business.rutgers.edu,0,0,FALSE,rutgers state university new jersey new brunswick campus,rutgers university,united states,united states,new brunswick,newark,new jersey,new jersey,http://nb.rutgers.edu,business.rutgers.edu
2120,14152,24162,rutgers state university new jersey newark campus,united states,newark,new jersey,http://www.newark.rutgers.edu,rutgers university,united states,piscataway,new jersey,business.rutgers.edu,0,0,FALSE,rutgers state university new jersey newark campus,rutgers university,united states,united states,newark,piscataway,new jersey,new jersey,http://www.newark.rutgers.edu,business.rutgers.edu
2121,14152,942,rutgers state university new jersey newark campus,united states,newark,new jersey,http://www.newark.rutgers.edu,rutgers university,united states,newark,new jersey,business.rutgers.edu,0,0,FALSE,rutgers state university new jersey newark campus,rutgers university,united states,united states,newark,newark,new jersey,new jersey,http://www.newark.rutgers.edu,business.rutgers.edu
