a_id,a_name,a_country,a_street,a_city,a_prov,a_pcode,a_tel,a_web
120,Adrian College,United States of America ,110 South Madison Street,Adrian, Michigan,49221-2575,+1(517) 265-5161,http://www.adrian.edu
121,Adventist College Technology,Philippines,Acmonan,Tupi,South Cotabato,9505,+63(64) 198-4101,
122,Adventist International Institute Advanced Studies,Philippines,"Aguinaldo Highway,Lalaan I",Silang,Cavite,4118,+63(46) 4144 315,http://www.aiias.edu
123,Adventist Technological Institute,Philippines,Dicoloc,Jimenez,Misamis Occidental,7204,+63(88)272-2826,
124,Adventist U. Philippines,Philippines,Putting Kahoy,Silang,Cavite,4118,+63(49) 541-1211,http://www.aup.edu.ph/
125,Adygeja State U.,Russian Federation,ul. Pervomajskaja 208,Majkop,Respublika Adygeja,385000,+7(8772) 57-17-10 +7(8772) 59-38-76,http://www.adygnet.ru
126,Osh Technological U. named after M.M. Adyshev,Kyrgyzstan,ul. Isanova 81,Os,,723503,+996(3222) 54087,http://www.oshtu.kg
127,Adiyaman U.,Turkey,Golbasi Karayolu Uzeri Yerleske,Adiyaman,,02040,+90(416) 223-22-10,http://www.adiyaman.edu.tr
130,Aemilianum Institute,Philippines,"Rizal Street, Piot",City of Sorsogon,Sorsogon,4700,+63(56) 211-1297,
131,Aeronautical Academy Philippines,Philippines,,Baras,Camarines Sur,,+63(54) 472-9866  +63(54) 811-8880,
132,Afe Babalola U.,Nigeria,km 8.5 along Afe Babalola Way,Ado-Ekiti,Ekiti State,,+234(803) 070-6711  +234(803) 852-1163  +234( 803) 350-9150,http://www.abuad.edu.ng
134,Africa International U.,Kenya,"P.O BOX 24686, Karen-Dagoretti Road",Nairobi,,00502,+254(20) 260-3663  +254(20) 260-3664,http://www.aiu.ac.ke
135,Africa Nazarene U.,Kenya,PO Box 53067Ongata Rongal Area of Kajiado District,Nairobi,+254(703) 970 520/5,00200,+254(703) 970-520/5,http://www.anu.ac.ke
136,Africa U.,Zimbabwe,"Fairview Road, Off Nyanga Road,  PO Box 1320",Mutare,,,+263(20) 60-026,http://www.africau.edu
138,African Methodist Episcopal U.,Liberia,"PO Box 3340, 34 Camp Johnson Road",Monrovia,Montserrado County,231,+231(377) 4751-6114,
142,African U. College Communications,Ghana,PO Box LG 510,Legon,Accra,,+233(302) 258584/6,http://www.aucc.edu.gh
143,African U. Science Technology,Nigeria,PMB 681Garki(Street address: Km 10 Airport RoadGaladimawa),Abuja,Federal Capital Territory,,+234(9) 780-0680,http://aust-abuja.org/
144,Africatic Senegal,Senegal,Rue 2 Angle A - Point E,Dakar,,,+221(77) 550-59-09  +221(33) 864-64-64,http://senegal.africatic.net/
145,Afyon Kocatepe U.,Turkey,Ahmet Necdet Sezer KampusuGazligol Yolu,Afyon,,03200,+90(272) 444-03-03,http://www.aku.edu.tr
146,Aga Khan U.,Pakistan,Stadium Road,Karachi,Sindh,74800,+92(21) 493-0051,http://www.aku.edu
147,Aga Khan U. Tanzania Institute Higher Education,Tanzania,PO Box 38129,Dar es Salaam,,,+255(22) 212-27-40  +255(22) 212-27-44,http://www.aku.edu/aboutaku/akuataglance/campusesandteachingsites/eastafrica/pages/tanzania.aspx
169,Agitel Training Institute,Cote d'Ivoire,03 BP 882,Abidjan,,03,+225(20) 22-26-37  +225(22) 47-83-03,http://www.agitel.ci
171,Agnes Scott College,United States of America ,"141, East College Avenue",Decatur, Georgia,30030-3797,+1(404) 471-6000,http://www.agnesscott.edu
172,Ago Foundation College,Philippines,Concepcion Grande,Naga City,Camarines Sur,4400,+63(54) 811-6520,
173,Ago Medical Educational Center Bicol Christian College Medicine,Philippines,"Rizal St., Old Albay",Legazpi City,Albay,4500,+63(52) 820-5877,http://www.amec-bccm.com
174,Agoncillo College,Philippines,,Agoncillo,Batangas,4211,+63(43) 210-2228,
175,Agoo Computer College Phils.,Philippines,Cases Boulevard,Agoo,La Union,2504,+63(72) 710-0087,
176,Agricultural U.,Bulgaria,12 Mendeleev Boulevard,Plovdiv,,4000,+359(32) 654-200,http://www.au-plovdiv.bg
177,Agricultural U. Hebei,China,289 Lingyusi Sreet,Baoding,Hebei Province,071001,+86(312) 7521823,http://www.hebau.edu.cn
178,Agro Industrial Foundation College Philippines Davao,Philippines,"Bolton Riverside, Ecoland, Matina",Davao City,Davao del Sur,8000,+63(82 )303-0377,
179,Agrocampus West,France,"65, rue de Saint-Brieuc",Rennes,,35042,+33(2) 23-48-50-00,http://www.agrocampus-ouest.fr
180,Paris Institute Technology Life Food Environmental Sciences,France,16 rue Claude Bernard,Paris,Cedex 05,75231,+33(1) 44-08-18-43,http://www.agroparistech.fr
181,National School Advanced Agronomy Studies Dijon,France,"26, boulevard Docteur PetitjeanBP 87999",Dijon,Cedex,21079,+33(3) 80-77-25-25,http://www.agrosupdijon.fr
182,Agusan Business Arts Foundation,Philippines,Capitol Drive,Butuan City,Agusan del Norte,8600,+63(85) 342-8185,
183,Agusan Colleges,Philippines,Del Pilar Street,Butuan City,Agusan del Norte,8600,+63 (85) 342-8004,http://www.agusancolleges.edu.ph
184,Agusan del Sur College,Philippines,,Bayugan City,Agusan del Sur,8502,+63(85) 231-2150,http://agusandelsurcollege.com
185,Agusan del Sur State College Agriculture Technology,Philippines,San Teodoro,Bunawan,Agusan del Sur,8506,,
186,Agusan Institute Technology,Philippines,North Montilla Blvd.,Butuan City,Agusan del Norte,8600,+63 (85) 342-9996  +63 (85) 342-5430,
187,Ahi Evran U.,Turkey,Terme Cad.,Kirsehir,,40100,+90(386) 280-40-00,http://www.ahievran.edu.tr
188,Ahlia U.,Bahrain,PO Box 10878GOSI Complex,Manama,,,+973 1729-8999,http://www.ahliauniversity.edu.bh/
189,Ahmadu Bello U.,Nigeria,PMB 1045,Zaria,,,+234(69) 550-691,http://www.abu.edu.ng
190,Ahmedabad U.,India,"AES Bungalow  2,Navrangpura",Ahmedabad,Gujarat,380009,+91(79) 4004-4161,http://www.ahduni.edu.in
191,Ahsanullah U. Science Technology,Bangladesh,141-142 Love RoadTejgaon Industrial Area,Dhaka,,1208,+880(2) 887-0422,http://www.aust.edu
192,Ahvaz Jondishapour U. Medical Sciences,Iran (Islamic Republic of),PO Box 61355-45Central BuildingGolestan Avenue,Ahvaz,,,+98(611) 333-9092,http://www.ajums.ac.ir
194,Aichi Bunkyo U.,Japan,5969-3 Nenjo-zakaOkusa,Komaki-shi,Aichi-ken,485-8565,+81(568) 78-2211,http://www.abu.ac.jp
195,Aichi U.,Japan,1-1 Machihata-cho,Toyohashi-shi,Aichi,441-8522,+81(532) 47-4131,http://www.aichi-u.ac.jp
196,Aichi Gakuin U.,Japan,Araike 12Iwasaki-cho,Nisshin-shi,Aichi,470-0195,+81(56) 1731-111,http://www.agu.ac.jp/
197,Aichi Gakusen U.,Japan,1 ShiotoriOike-cho,Toyota-shi,Aichi,471-8532,+81(565) 35-1313,http://www.gakusen.ac.jp
198,Aichi Medical U.,Japan,1-1 YazakokarimataNagakute,Aichi-gun,Aichi,480-1195,+81(561) 62-3311,http://www.aichi-med-u.ac.jp/index.html
199,Aichi Prefectural U.,Japan,1522-3 Ibaragabasama,Nagakute-shi,Aichi-ken,480-1198,+81(561) 64-111  +81(561) 76-8829,http://www.aichi-pu.ac.jp
200,Aichi Prefectural U. Fine Arts Music,Japan,"1-1 Sagamine, YazakoNagakute-cho",Aichi-gun,Aichi,480-1194,+81(561) 62-1180,http://www.aichi-fam-u.ac.jp
201,Aichi Prefectural U. School Nursing & Health Graduate School Nursing Health,Japan,"Tohgoku, KamishidamiMoriyama-ku",Nagoya-shi,Aichi,463-8502,+81(52) 736-1401,http://www.aichi-nurs.ac.jp
202,Aichi Institute Technology,Japan,1247 YachigusaYakusa-cho,Toyota-shi,Aichi,470-0392,+81(565) 48-8121,http://www.aitech.ac.jp
203,Aichi U. Technology,Japan,50-2 Manori Nishihasama-cho,Gamagori-shi,Aichi,443-0047,+81(533) 68-1135,http://www.aut.ac.jp
204,Aichi U. Education,Japan,1 HirosawaIgaya-cho,Kariya-shi,Aichi-ken,448-8542,+81(566) 26-2178,http://www.aichi-edu.ac.jp
205,Aichi Mizuho College,Japan,86-1 HaiwaHiratobashi-cho,Toyota-shi,Aichi,470-0394,+81(565) 43-0111,http://amc.mizuho-c.ac.jp
206,Aichi Sangyo U.,Japan,12-5 HarayamaOka-cho,Okazaki-shi,Aichi,444-0005,+81(564) 48-4511,http://www.asu.ac.jp
207,Aichi Shinshiro Otani U.,Japan,"1-125, HagihiraKawaji",Shinshiro,Aichi,441-130,+81(536) 23-3311,http://www.owari.ac.jp/shinshiro
208,Aichi Shukutoku U.,Japan,"9 Katahira, NagakuteNagakute-cho",Aichi-gun,Aichi,480-1197,+81(561) 62-4111,http://www.aasa.ac.jp
209,Aichi Toho U.,Japan,3-11 Heiwagaoka,Meito-ku,Nagoya,465-8515,+81(52) 782-1241,http://www.aichi-toho.ac.jp/english/
210,Aikoku Gakuen U.,Japan,1532 Yotsukaido,Yotsukaido-shi,Chiba,284-0005,+81(43) 424-4410  +81(43) 424-4433,http://www.aikoku-u.ac.jp/
211,Ain Shams U.,Egypt,"Khalifa El-Maamon St, Abbasiya Square",Cairo,,11566,+20(2) 683-1231  +20(2) 683-1417,http://www.asu.edu.eg
212,Aino U.,Japan,4-5-4 Higashioda,Ibaraki,Osaka,567-0012,+81(72) 627-1711,http://univ.aino.ac.jp/
213,Air Link International Aviation College,Philippines,Domestic Rd.,Pasay City,"Fourth District, Metro Manila",1301,+63(2) 359-5033,http://www.airlinkinternationalaviation.com
214,Air U.,Pakistan,,Islamabad,,44000,+92(51) 9507865,http://au.edu.pk
215,Air Force Institute Technology,Nigeria,Nigerian Air Force Base,Kaduna,,,+234(702) 930-6014,http://www.afit.edu.ng/
216,AIS St Helens,New Zealand,28a Linwoood AvenueMt Albert,Auckland,,1015,+64(9) 815-1717,http://www.ais.ac.nz
217,Aix Marseilles U.,France,"Jardin du Pharo, 58 bd Charles Livon",Marseille,,13284,+33(4)  91-39-65-00,http://www.univ-amu.fr
218,U. Aizu,Japan,Kamiiawase 90Ikkimachi-tsuruga,Aizuwakamatsu-shi,Fukushima,965-8580,+81(242) 37-2500,http://www.u-aizu.ac.jp
219,Ajayi Crowther U.,Nigeria,,Oyo,Oyo State,,,http://www.acu.edu.ng
220,Asia U.,Japan,5-24-10 Sakai,Musashino-shi,Tokyo,180-8629,+81(422) 36-3255,http://www.asia-u.ac.jp/english
221,Ajloun National Private U.,Jordan,,Ajloun,,,,http://www.anpu.edu.jo
222,Ajman U. Science Technology,United Arab Emirates,PO Box 346,Ajman,,,+971(6) 748-2222,http://www.ajman.ac.ae
223,Ajou U.,Korea (Republic of),"San-S, Woncheon-DongYeongtong-Gu",Suwon-si,Gyeonggi-do,443-749,+82(31) 219-2114  +82(31) 219-2925,http://www.ajou.ac.kr
226,AKAD U. Applied Sciences,Germany,Maybachstrasse 18-20,Stuttgart,,70469,+49(711) 81495-0,https://www.akad.de/
633,U. Arts,Albania,"Bulevardi "" Deshmoret e Kombit""Sheshi ""Nene Tereza""",Tirane,,,+355(42) 25488,http://www.artacademy.al
635,Vistula U.,Poland,ul. Stoklosy 3,Warszawa,mazowieckie,02-787,+48(22) 45 72 300,http://www.vistula.edu.pl
636,AGH U. Science Technology Krakow,Poland,Al. A. Mickiewicza 30,Krakow,malopolskie,30-059,+48(12) 617-36-84,http://www.agh.edu.pl
637,Aleksander Gieysztor Academy Humanities Pultusk,Poland,ul. Daszynskiego 17,Pultusk,mazowieckie,06-100,+48(23) 692-98-13,http://ah.edu.pl
638,U. Humanities Economics Lodz,Poland,ul. Sterlinga 26,Lodz,lodzkie,90-212,+48(42) 631-50-00,http://www.ahe.lodz.pl
639,Ignatianum Jesuit U. Philosophy Education Krakow,Poland,ul. Kopernika 26,Krakow,malopolskie,31-501,+48(12) 431-10-37,http://www.ignatianum.edu.pl
640,Jan Dlugosz U. Czestochowa,Poland,ul. Waszyngtona 4/8,Czestochowa,slaskie,42-200,+48(34) 378-41-00,http://www.ajd.czest.pl
641,Kozminski U. Warsaw,Poland,ul. Jagiellonska 57/59,Warszawa,mazowieckie,03-301,+48(22) 519-21-00,http://www.kozminski.edu.pl
642,Polish Naval Academy Gdynia,Poland,ul. Jana Smidowicza 69,Gdynia,pomorskie,81-103,+48(58) 626-27-53,http://www.amw.gdynia.pl
643,Wroclaw Medical U.,Poland,Wybrzeze L. Pasteura 1,Wroclaw,dolnoslaskie,50-367,+48(71) 784-10-01,http://www.am.wroc.pl
644,Gdynia Maritime U.,Poland,ul. Morska 81-87,Gdynia,pomorskie,81-225,+48(58) 621-70-41,http://www.am.gdynia.pl
645,Maritime U. Szczecin,Poland,ul. Waly Chrobrego 1-2,Szczecin,zachodniopomorskie,70-500,+48(91) 480-94-00,http://www.am.szczecin.pl
646,Feliks Nowowiejski Academy Music Bydgoszcz,Poland,ul. J. Slowackiego 7,Bydgoszcz,kujawsko-pomorskie,85-008,+48(52) 321-05-82,http://www.amuz.bydgoszcz.pl
647,Grazyna Kiejstut Bacewicz Academy Music Lodz,Poland,ul. Gdanska 32,Lodz,lodzkie,90-716,+48(42) 662-16-15,http://www.amuz.lodz.pl
648,I.J. Paderewski Academy Music Poznan,Poland,ul. Swiety Marcin 87,Poznan,wielkopolskie,61-808,+48(61) 856-89-00,http://www.amuz.edu.pl
649,Karol Lipinski Academy Music Wroclaw,Poland,pl. Jana Pawla II nr 2,Wroclaw,dolnoslaskie,50-043,+48(71) 310-05-00,http://www.amuz.wroc.pl
650,Karol Szymanowski Academy Music Katowice,Poland,ul. Zacisze 3,Katowice,slaskie,40-025,+48(32) 255-40-17,http://www.am.katowice.pl
651,Stanislaw Moniuszko Academy Music,Poland,ul. Lakowa 1/2,Gdansk,pomorskie,80-743,+48(58) 300-92-01,http://www.amuz.gda.pl
652,Academy Music Krakow,Poland,ul. Sw. Tomasza 43,Krakow,malopolskie,31-027,+48(12) 422-04-55,http://www.amuz.krakow.pl
653,National Defence U. Warsaw,Poland,al. gen Chrusciela 103 blok 25,Warszawa,mazowieckie,00-910,+48(22) 681-34-01,http://www.aon.edu.pl
654,Maria Grzegorzewska Academy Special Education,Poland,ul. Szczesliwicka 40,Warszawa,mazowieckie,02-353,+48(22) 589-36-00,http://www.aps.edu.pl
655,Academy Police Force Bratislava,Slovak Republic,Sklabinska 1,Bratislava,,835 17,+421(2) 4488-8372,http://www.akademiapz.sk
656,Polonia U. Czestochowa,Poland,ul. Pulaskiego 4/6,Czestochowa,slaskie,42-200,+48(34) 368-42-00,http://www.ap.edu.pl
657,Pomeranian Academy Slupsk,Poland,ul. Arciszewskiego 22a,Slupsk,pomorskie,76-200,+48(59) 840-53-27,http://www.apsl.edu.pl
658,Eugeniusz Geppert Acaemy Art Design Wroclaw,Poland,ul. Plac Polski 3/4,Wroclaw,dolnoslaskie,50-156,+48(71) 343-80-31,http://www.asp.wroc.pl
659,Jan Matejko Academy Fine Arts Krakow,Poland,pl. Jana Matejki 13,Krakow,malopolskie,31-157,+48(12) 299-20-00,http://www.asp.krakow.pl
660,Strzeminski Academy Art Lodz,Poland,ul. Wojska Polskiego 121,Lodz,lodzkie,91-726,+48(42) 254-75-98,http://www.asp.lodz.pl
