_id,ltable_a_id,rtable_person_id,ltable_a_name,ltable_a_country,ltable_a_city,ltable_a_prov,ltable_a_web,rtable_a_name,rtable_a_country,rtable_a_city,rtable_a_prov,rtable_a_email_server,gold_label
590,23182,59352,virginia tech carilion school medicine,united states,roanoke,virginia,http://www.vtc.vt.edu/,university virginia,united states,charlottesville,virginia,darden.virginia.edu,0
610,12365,10008,nanyang technological university,singapore,singapore,,http://www.ntu.edu.sg,nanyang technological university,singapore,singapore,,ntu.edu.sg,1
633,1079,40973,arizona state university,united states,tempe,arizona,http://www.asu.edu,arizona state university,united states,tempe,arizona,asu.edu,1
655,12421,51434,national chung hsing university,taiwan,taichung,,http://www.nchu.edu.tw/,national chung hsing university,taiwan,taichung,,amber.com.tw,1
660,12444,26040,national dong hwa university,taiwan,hualien,,http://www.ndhu.edu.tw,national dong hwa university,taiwan,hualien,taiwan,mail.ndhu.edu.tw,1
688,12497,57483,national pingtung university education,taiwan,pingtung,,http://www.npue.edu.tw,national changhua university education,taiwan,changhua,,cc.ncue.edu.tw,0
691,1246,51950,atal birahi vajpayee indian institute information technology management,india,gwalior,madhya pradesh,http://www.iiitm.ac.in,indian institute management kozhikode,india,kohzikode,kerala,gmail.com,0
701,1246,47350,atal birahi vajpayee indian institute information technology management,india,gwalior,madhya pradesh,http://www.iiitm.ac.in,indian institute management bangalore,india,bangalore,karnataka,gmail.com,0
702,1246,22137,atal birahi vajpayee indian institute information technology management,india,gwalior,madhya pradesh,http://www.iiitm.ac.in,indian institute management bangalore,india,bangalore,karnataka,iimb.ernet.in,0
712,1246,39241,atal birahi vajpayee indian institute information technology management,india,gwalior,madhya pradesh,http://www.iiitm.ac.in,indian institute management ahmedabad,india,ahmedabad,gujarat,iimahd.ernet.in,0
717,12516,34211,national taiwan university physical education sport,taiwan,taichung,,http://www.ntupes.edu.tw/,national taiwan university,taiwan,taipei,,ntu.edu.tw,0
729,1273,9743,auburn university,united states,auburn,alabama,http://www.auburn.edu,auburn university,united states,auburn,alabama,auburn.edu,1
809,12632,3157,new mexico state university,united states,las cruces,new mexico,http://www.nmsu.edu,new mexico state university,united states,las cruces,new mexico,nmsu.edu,1
842,12636,25370,new york chiropractic college,united states,seneca falls,new york,http://www.nycc.edu,new york university,united states,new york city,new york,stern.nyu.edu,0
857,12636,5342,new york chiropractic college,united states,seneca falls,new york,http://www.nycc.edu,new paltz state university new york,united states,saugerties,new york,newpaltz.edu,0
861,12636,38662,new york chiropractic college,united states,seneca falls,new york,http://www.nycc.edu,university buffalo state university new york,united states,amherst,new york,gmail.com,0
866,12636,54542,new york chiropractic college,united states,seneca falls,new york,http://www.nycc.edu,new york university,united states,new york,new york,stern.nyu.edu,0
875,12642,2133,new york law school,united states,new york,new york,http://www.nyls.edu,new york university,united states,great neck,new york,stern.nyu.edu,0
896,12642,2379,new york law school,united states,new york,new york,http://www.nyls.edu,university albany state university new york,united states,albany,new york,albany.edu,0
900,12642,33988,new york law school,united states,new york,new york,http://www.nyls.edu,baruch college city university new york,united states,new york,new york,baruch.cuny.edu,0
946,23523,27308,union schools paraiso faculty sao paulo new centre,brazil,sao paulo,sp,http://www.faculdadedesaopaulo.edu.br/centronovo/index.asp,university de sao paulo,brazil,sao paulo,sp,uol.com.br,0
964,12769,6881,north carolina central university,united states,durham,north carolina,http://www.nccu.edu,university north carolina chapel hill,united states,chapel hill,north carolina,unc.edu,0
967,12769,230,north carolina central university,united states,durham,north carolina,http://www.nccu.edu,university north carolina charlotte,united states,charlotte,north carolina,uncc.edu,0
980,12769,35303,north carolina central university,united states,durham,north carolina,http://www.nccu.edu,university north carolina chapel hill,united states,chapel hill,north carolina,unc.edu,0
987,12769,2525,north carolina central university,united states,durham,north carolina,http://www.nccu.edu,north carolina a t state university,united states,greensboro,north carolina,ncat.edu,0
996,12770,50912,north carolina state university,united states,raleigh,north carolina,http://www.ncsu.edu,university north carolina charlotte,united states,charlotte,north carolina,uncc.edu,0
997,12770,55758,north carolina state university,united states,raleigh,north carolina,http://www.ncsu.edu,university north carolina chapel hill,united states,chapel hill,north carolina,gmail.com,0
1006,12770,14691,north carolina state university,united states,raleigh,north carolina,http://www.ncsu.edu,university north carolina,united states,chapel hill,north carolina,unc.edu,0
1019,12770,21999,north carolina state university,united states,raleigh,north carolina,http://www.ncsu.edu,university north carolina,united states,greensboro,north carolina,uncg.edu,0
1068,1533,31752,beijing technology business university,china,beijing,,http://www.btbu.edu.cn,university science and technology beijing,china,beijing,,manage.ustb.edu.cn,0
1094,12815,9877,northern alberta institute technology,canada,edmonton,alberta,http://www.nait.ca/,northern alberta institute technology,canada,winnipeg,mb,nait.edu,1
1182,12872,54906,northwestern university,united states,evanston,illinois,http://www.northwestern.edu,northwestern university,united states,evanston,illinois,northwestern.edu,1
1191,1615,40016,university applied sciences berner fachhochschule,switzerland,bern,,http://www.bfh.ch,bern university applied sciences,switzerland,bern,bern,alumni.unisg.ch,1
1199,12895,44811,nottingham trent university,united kingdom,nottingham,,http://www.ntu.ac.uk,university nottingham,united kingdom,nottingham,,nottingham.ac.uk,0
1212,12900,1717,nova southeastern university,united states,fort lauderdale,florida,http://www.nova.edu,nova southeastern university,united states,fort lauderdale,florida,nova.edu,1
1298,1732,37439,boston university,united states,boston,massachusetts,http://www.bu.edu,boston university,united states,boston,massachusetts,bu.edu,1
1305,1732,6472,boston university,united states,boston,massachusetts,http://www.bu.edu,university massachusetts boston,united states,boston,massachusetts,umb.edu,0
1315,1732,42515,boston university,united states,boston,massachusetts,http://www.bu.edu,boston college,united states,boston,massachusetts,bc.edu,0
1378,1765,23537,brigham young university,united states,provo,utah,http://www.byu.edu,brigham young university,united states,provo,utah,byu.edu,1
1395,13059,1065,dublin city university,ireland,dublin,,http://www.dcu.ie,university college dublin,ireland,dublin,,ucd.ie,0
1413,13069,33496,national university ireland university college dublin,ireland,dublin,,http://www.ucd.ie,national university ireland maynooth,ireland,maynooth,,nuim.ie,0
1426,13113,39564,oregon state university,united states,corvallis,oregon,http://www.oregonstate.edu,oregon state university,united states,corvallis,oregon,bus.oregonstate.edu,1
1431,13113,14406,oregon state university,united states,corvallis,oregon,http://www.oregonstate.edu,university oregon,united states,eugene,oregon,uoregon.edu,0
1435,23982,59272,getulio vargas foundation,brazil,rio de janeiro,,http://portal.fgv.br,fundacao getulio vargas,brazil,sao paulo,sao paulo,gmail.com,1
1452,1904,25091,california polytechnic state university san luis obispo,united states,san luis obispo,california,http://www.calpoly.edu,california polytechnic state university,united states,san luis obispo,california,calpoly.edu,1
1456,1904,24864,california polytechnic state university san luis obispo,united states,san luis obispo,california,http://www.calpoly.edu,san jose state university,united states,san jose,california,gmail.com,0
1466,1904,8640,california polytechnic state university san luis obispo,united states,san luis obispo,california,http://www.calpoly.edu,california polytechnic state university san luis obispo,united states,san luis obispo,california,calpoly.edu,1
1474,1904,33931,california polytechnic state university san luis obispo,united states,san luis obispo,california,http://www.calpoly.edu,cal poly san luis obispo,united states,san luis obispo,california,calpoly.edu,1
1475,1906,25091,california state polytechnic university pomona,united states,pomona,california,http://www.csupomona.edu,california polytechnic state university,united states,san luis obispo,california,calpoly.edu,0
1489,1907,5959,california state university bakersfield,united states,bakersfield,california,http://www.csub.edu,california state polytechnic university pomona,united states,pomona,california,csupomona.edu,0
1508,1913,3910,california state university fullerton,united states,fullerton,california,http://www.fullerton.edu,california state university san marcos,united states,oceanside,california,csusm.edu,0
1546,13203,10398,university oulu,finland,oulu,,http://www.oulu.fi/yliopisto,university oulu business school,finland,oulu,,oulu.fi,1
1548,1912,24074,california state university fresno,united states,fresno,california,http://www.csufresno.edu,california state university long beach,united states,long beach,california,csulb.edu,0
1564,1914,29364,california state university long beach,united states,long beach,california,http://www.csulb.edu,california state university northridge,united states,northridge,california,gmail.com,0
1581,1920,5384,california state university san marcos,united states,san marcos,california,http://www.csusm.edu,san diego state university,united states,san diego,california,mail.sdsu.edu,0
1607,13243,53309,school teacher education university applied sciences st gallen,switzerland,st. gallen,,http://www.phsg.ch,university st gallen,switzerland,st. gallen,,unisg.ch,0
1628,13242,48452,university teacher education bern,switzerland,bern,,http://www.phbern.ch,university bern,switzerland,bern,,iop.unibe.ch,0
1691,2080,16080,central michigan university,united states,mount pleasant,michigan,http://www.cmich.edu,university michigan,united states,ann arbor,michigan,umich.edu,0
1735,13417,57806,peking university,china,beijing,,http://www.pku.edu.cn,peking university,china,beijing,,163.com,1
1747,13422,35684,pennsylvania college art design,united states,lancaster,pennsylvania,http://www.pcad.edu,university pennsylvania,united states,philadelphia,pennsylvania,wharton.upenn.edu,0
1758,13422,6447,pennsylvania college art design,united states,lancaster,pennsylvania,http://www.pcad.edu,university pennsylvania,united states,philadelphia,pennsylvania,wharton.upenn.edu,0
1775,13581,56790,technical university milan,italy,milano,,http://www.polimi.it,university milan,italy,milano,,unimi.it,0
1844,13839,19174,queen margaret university edinburgh,united kingdom,edinburgh,,http://www.qmu.ac.uk,university edinburgh,united kingdom,edinburgh,uk,ed.ac.uk,0
1875,13886,49946,rajiv gandhi indian institute management shillong,india,shillong,meghalaya,http://www.iimshillong.in/,indian institute management bangalore,india,bangalore,,iimb.ernet.in,0
1899,13965,35547,remington college colorado springs,united states,colorado springs,colorado,http://www.remingtoncollege.edu,university colorado colorado springs,united states,colorado springs,colorado,uccs.edu,0
1900,13965,59973,remington college colorado springs,united states,colorado springs,colorado,http://www.remingtoncollege.edu,university colorado,united states,denver,colorado,ucdenver.edu,0
1903,13971,58452,renmin university china,china,beijing,,http://www.ruc.edu.cn,renmin university china,china,beijing,,sohu.com,1
1904,13971,56645,renmin university china,china,beijing,,http://www.ruc.edu.cn,renmin university china,china,beijing,,foxmail.com,1
1933,13981,58420,rwth aachen university,germany,aachen,,http://www.rwth-aachen.de,rwth aachen university,germany,aachen,,time.rwth-aachen.de,1
1948,2695,36813,cheyney university pennsylvania,united states,cheyney,pennsylvania,http://www.cheyney.edu,university pennsylvania,united states,philadelphia,pennsylvania,wharton.upenn.edu,0
1959,13992,4975,rice university,united states,houston,texas,http://www.rice.edu,rice university,united states,houston,texas,rice.edu,1
1960,13992,59552,rice university,united states,houston,texas,http://www.rice.edu,rice university,united states,houston,texas,rice.edu,1
1980,14006,59101,university groningen,netherlands,groningen,,http://www.rug.nl,groningen university rug,netherlands,groningen,,student.rug.nl,1
2001,14092,43783,russian national research medical university named after n i pirogov,russian federation,moskva,,http://www.rsmu.ru,national research university,russian federation,moscow,,dol.ru,0
2009,14110,17923,rowan university,united states,glassboro,new jersey,http://www.rowan.edu,rowan university,united states,glassboro,new jersey,rowan.edu,1
2050,2840,38531,city university hong kong,hong kong,hong kong,hong kong sar,http://www.cityu.edu.hk,university hong kong,hong kong,hong kong,,hku.hk,0
2058,2840,51583,city university hong kong,hong kong,hong kong,hong kong sar,http://www.cityu.edu.hk,city university hong kong,hong kong,hong kong,,cityu.edu.hk,1
2113,14151,14413,rutgers state university new jersey new brunswick campus,united states,new brunswick,new jersey,http://nb.rutgers.edu,rutgers university,united states,newark,new jersey,business.rutgers.edu,0
2120,14152,24162,rutgers state university new jersey newark campus,united states,newark,new jersey,http://www.newark.rutgers.edu,rutgers university,united states,piscataway,new jersey,business.rutgers.edu,0
2121,14152,942,rutgers state university new jersey newark campus,united states,newark,new jersey,http://www.newark.rutgers.edu,rutgers university,united states,newark,new jersey,business.rutgers.edu,1
2136,14152,17547,rutgers state university new jersey newark campus,united states,newark,new jersey,http://www.newark.rutgers.edu,rutgers university,united states,newark,new jersey,business.rutgers.edu,1
2142,2863,9134,clemson university,united states,clemson,south carolina,http://www.clemson.edu,clemson university,united states,clemson,south carolina,clemson.edu,1
2217,3081,57232,columbia university city new york,united states,new york,new york,http://www.columbia.edu,columbia university,united states,new york,new york,columbia.edu,1
2218,3081,1153,columbia university city new york,united states,new york,new york,http://www.columbia.edu,columbia university,united states,new york,new york,columbia.edu,1
2225,3081,19793,columbia university city new york,united states,new york,new york,http://www.columbia.edu,new york university,united states,new york,new york,stern.nyu.edu,0
2233,3081,57246,columbia university city new york,united states,new york,new york,http://www.columbia.edu,columbia university,united states,new york,new york,tc.columbia.edu,1
2264,3125,59633,concordia university,canada,montreal,quebec,http://www.concordia.ca,concordia university,canada,montreal,qc,jmsb.concordia.ca,1
2290,3129,46668,concordia university college alberta,canada,edmonton,alberta,http://concordia.ab.ca,university alberta,canada,edmonton,alberta,ualberta.ca,0
2313,14391,21816,san diego state university,united states,san diego,california,http://www.sdsu.edu,san francisco state university,united states,san francisco,california,sfsu.edu,0
2333,14396,10131,san francisco state university,united states,san francisco,california,http://www.sfsu.edu,california state university san marcos,united states,san marcos,california,csusm.edu,0
2345,14401,10131,san jose state university,united states,san jose,california,http://www.sjsu.edu,california state university san marcos,united states,san marcos,california,csusm.edu,0
2369,3244,52857,cornell university,united states,ithaca,new york,http://www.cornell.edu,cornell university,united states,ithaca,new york,cornell.edu,1
2384,3365,52277,curtin university,australia,perth,western australia,http://www.curtin.edu.au,curtin university,australia,rivervale,washington,hotmail.com,1
2432,15170,58317,seoul national university science technology,south korea,seoul,,http://www.seoultech.ac.kr/,seoul national university,south korea,seoul,,snu.ac.kr,0
2458,3670,32484,depaul university,united states,chicago,illinois,http://www.depaul.edu/,depaul university,united states,chicago,illinois,depaul.edu,1
2460,3670,2009,depaul university,united states,chicago,illinois,http://www.depaul.edu/,depaul university,united states,chicago,illinois,depaul.edu,1
2484,3737,58597,diploma university applied sciences,germany,bad sooden allendorf,,http://diploma.de,bits university applied sciences,germany,iserlohn,,bits-iserlohn.de,0
2505,3908,25013,drexel university,united states,philadelphia,pennsylvania,http://www.drexel.edu,drexel university,united states,philadelphia,pennsylvania,drexel.edu,1
2518,3923,28005,duke university,united states,durham,north carolina,http://www.duke.edu,duke university,united states,durham,north carolina,duke.edu,1
2523,3938,41120,east carolina university,united states,greenville,north carolina,http://www.ecu.edu,east carolina university,united states,greenville,north carolina,ecu.edu,1
2538,3944,58996,east china university science technology,china,shanghai,shanghai,http://www.ecust.edu.cn,south china university technology,china,guangzhou,,scut.edu.cn,0
2540,3944,53286,east china university science technology,china,shanghai,shanghai,http://www.ecust.edu.cn,huazhong university science technology,china,wuhan,,126.com,0
2553,15448,20618,singapore management university,singapore,singapore,,http://www.smu.edu.sg,singapore management university,singapore,singapore,,smu.edu.sg,1
2556,15448,33033,singapore management university,singapore,singapore,,http://www.smu.edu.sg,singapore management university,singapore,singapore,singapore,smu.edu.sg,1
2558,3948,1142,east stroudsburg university pennsylvania,united states,east stroudsburg,pennsylvania,http://www.esu.edu,university pennsylvania,united states,philadelphia,pennsylvania,wharton.upenn.edu,0
2579,3949,3740,east tennessee state university,united states,johnson city,tennessee,http://www.etsu.edu,east tennessee state university,united states,johnson city,tennessee,etsu.edu,1
2611,3968,51649,eastern michigan university,united states,ypsilanti,michigan,http://www.emich.edu,university michigan,united states,ann arbor,michigan,umich.edu,0
2665,15561,56891,south carolina state university,united states,orangeburg,south carolina,http://www.scsu.edu,university south carolina,united states,columbia,south carolina,mailbox.sc.edu,0
2688,15589,5967,southeastern oklahoma state university,united states,durant,oklahoma,http://www.se.edu,oklahoma state university,united states,stillwater,oklahoma,okstate.edu,0
2709,15594,56780,southern alberta institute technology,canada,calgary,alberta,http://www.sait.ca,university alberta,canada,edmonton,alberta,ualberta.ca,0
2715,15601,9994,southern california institute architecture,united states,los angeles,california,http://www.sciarc.edu,university southern california,united states,los angeles,california,marshall.usc.edu,0
2716,15601,38673,southern california institute architecture,united states,los angeles,california,http://www.sciarc.edu,university southern california,united states,los angeles,california,usc.edu,0
2734,15601,42322,southern california institute architecture,united states,los angeles,california,http://www.sciarc.edu,university southern california,united states,los angeles,california,marshall.usc.edu,0
2739,15601,3638,southern california institute architecture,united states,los angeles,california,http://www.sciarc.edu,university southern california,united states,los angeles,california,marshall.usc.edu,0
2750,15604,46520,southern california university school oriental medicine acupuncture,united states,los angeles,california,http://www.scusoma.edu/,university southern california,united states,los angeles,california,marshall.usc.edu,0
2800,15653,5103,southwest minnesota state university,united states,marshall,minnesota,http://www.smsu.edu,university minnesota,united states,minneapolis,minnesota,umn.edu,0
2809,15653,1076,southwest minnesota state university,united states,marshall,minnesota,http://www.smsu.edu,university minnesota,united states,minneapolis,minnesota,umn.edu,0
2848,15669,1194,southwestern oklahoma state university,united states,weatherford,oklahoma,http://www.swosu.edu,university oklahoma,united states,norman,oklahoma,ou.edu,0
2874,12354,54824,nanjing university science technology,china,nanjing,jiangsu province,http://www.njust.edu.cn,huazhong university science technology,china,wuhan,,126.com,0
2881,12354,58460,nanjing university science technology,china,nanjing,jiangsu province,http://www.njust.edu.cn,university science and technology liaoning,china,anshan,liaoning,163.com,0
2925,15816,26268,stanford university,united states,stanford,california,http://www.stanford.edu,stanford university,united states,stanford,california,stanford.edu,1
2939,15816,7857,stanford university,united states,stanford,california,http://www.stanford.edu,stanford university,united states,mountain view,california,stanford.edu,1
2954,15819,54517,state college florida manatee sarasota,united states,bradenton,florida,http://www.scf.edu/,university florida,united states,gainesville,florida,warrington.ufl.edu,0
2964,15825,54506,state university new york binghamton,united states,binghamton,new york,http://www.binghamton.edu,state university new york college old westbury,united states,old westbury,new york,oldwestbury.edu,0
2985,15825,25370,state university new york binghamton,united states,binghamton,new york,http://www.binghamton.edu,new york university,united states,new york city,new york,stern.nyu.edu,0
2994,15825,42040,state university new york binghamton,united states,binghamton,new york,http://www.binghamton.edu,university albany state university new york,united states,albany,new york,albany.edu,0
3027,15826,33175,state university new york buffalo,united states,buffalo,new york,http://www.buffalo.edu,state university new york institute technology,united states,utica,new york,point42.com,0
3033,15826,2568,state university new york buffalo,united states,buffalo,new york,http://www.buffalo.edu,university albany state university new york,united states,delmar,new york,albany.edu,0
3036,15826,19793,state university new york buffalo,united states,buffalo,new york,http://www.buffalo.edu,new york university,united states,new york,new york,stern.nyu.edu,0
3065,15824,27560,state university new york system,united states,albany,new york,http://www.suny.edu/,state university new york college old westbury,united states,brooklyn,new york,oldwestbury.edu,0
3093,15824,54542,state university new york system,united states,albany,new york,http://www.suny.edu/,new york university,united states,new york,new york,stern.nyu.edu,0
3137,15829,1228,state university new york college buffalo,united states,buffalo,new york,http://www.buffalostate.edu,new york university,united states,new york,new york,stern.nyu.edu,0
3158,15827,13546,state university new york new paltz,united states,new paltz,new york,http://www.newpaltz.edu,new york university,united states,new york,new york,stern.nyu.edu,0
3160,15827,2379,state university new york new paltz,united states,new paltz,new york,http://www.newpaltz.edu,university albany state university new york,united states,albany,new york,albany.edu,0
3180,15827,1228,state university new york new paltz,united states,new paltz,new york,http://www.newpaltz.edu,new york university,united states,new york,new york,stern.nyu.edu,0
3198,15833,51035,state university new york college old westbury,united states,old westbury,new york,http://www.oldwestbury.edu,university albany state university new york,united states,albany,new york,gmail.com,0
3216,15833,35473,state university new york college old westbury,united states,old westbury,new york,http://www.oldwestbury.edu,new york university,united states,new york,new york,stern.nyu.edu,0
3217,15833,56282,state university new york college old westbury,united states,old westbury,new york,http://www.oldwestbury.edu,university buffalo state university new york,united states,buffalo,new york,buffalo.edu,0
3222,15833,54542,state university new york college old westbury,united states,old westbury,new york,http://www.oldwestbury.edu,new york university,united states,new york,new york,stern.nyu.edu,0
3228,15835,2133,state university new york college oswego,united states,oswego,new york,http://www.oswego.edu,new york university,united states,great neck,new york,stern.nyu.edu,0
3229,15835,5921,state university new york college oswego,united states,oswego,new york,http://www.oswego.edu,new york university,united states,new york,new york,stern.nyu.edu,0
3240,15835,4576,state university new york college oswego,united states,oswego,new york,http://www.oswego.edu,new paltz state university new york,united states,new paltz,new york,newpaltz.edu,0
3304,15836,38662,state university new york college plattsburgh,united states,plattsburgh,new york,http://www.plattsburgh.edu,university buffalo state university new york,united states,amherst,new york,gmail.com,0
3314,15837,2133,state university new york college potsdam,united states,potsdam,new york,http://www.potsdam.edu,new york university,united states,great neck,new york,stern.nyu.edu,0
3366,15839,27560,state university new york college agriculture technology cobleskill,united states,cobleskill,new york,http://www.cobleskill.edu,state university new york college old westbury,united states,brooklyn,new york,oldwestbury.edu,0
3390,15839,38662,state university new york college agriculture technology cobleskill,united states,cobleskill,new york,http://www.cobleskill.edu,university buffalo state university new york,united states,amherst,new york,gmail.com,0
3395,15839,1228,state university new york college agriculture technology cobleskill,united states,cobleskill,new york,http://www.cobleskill.edu,new york university,united states,new york,new york,stern.nyu.edu,0
3423,15842,19793,state university new york college optometry,united states,new york,new york,http://www.sunyopt.edu,new york university,united states,new york,new york,stern.nyu.edu,0
3439,15843,9029,state university new york college technology alfred,united states,alfred,new york,http://www.alfredstate.edu,new york university,united states,new york,new york,stern.nyu.edu,0
3442,15843,60039,state university new york college technology alfred,united states,alfred,new york,http://www.alfredstate.edu,university buffalo state university new york,united states,buffalo,new york,buffalo.edu,0
3444,15843,5921,state university new york college technology alfred,united states,alfred,new york,http://www.alfredstate.edu,new york university,united states,new york,new york,stern.nyu.edu,0
3448,15843,2895,state university new york college technology alfred,united states,alfred,new york,http://www.alfredstate.edu,university buffalo state university new york,united states,buffalo,new york,buffalo.edu,0
3497,15845,3615,state university new york college technology delhi,united states,delhi,new york,http://www.delhi.edu,state university new york,united states,old westbury,new york,oldwestbury.edu,0
3514,15845,8130,state university new york college technology delhi,united states,delhi,new york,http://www.delhi.edu,new york university,united states,brooklyn,new york,nyu.edu,0
3562,15844,38662,state university new york college technology canton,united states,canton,new york,http://www.canton.edu,university buffalo state university new york,united states,amherst,new york,gmail.com,0
3585,15846,51035,state university new york empire state college,united states,saratoga springs,new york,http://www.esc.edu,university albany state university new york,united states,albany,new york,gmail.com,0
3599,15846,6543,state university new york empire state college,united states,saratoga springs,new york,http://www.esc.edu,new york university,united states,new york,new york,stern.nyu.edu,0
3628,15849,27560,state university new york institute technology utica/rome,united states,utica,new york,http://www.sunyit.edu,state university new york college old westbury,united states,brooklyn,new york,oldwestbury.edu,0
3640,15849,24912,state university new york institute technology utica/rome,united states,utica,new york,http://www.sunyit.edu,state university new york canton,united states,canton,new york,canton.edu,0
3645,15849,1248,state university new york institute technology utica/rome,united states,utica,new york,http://www.sunyit.edu,university buffalo state university new york,united states,buffalo,new york,buffalo.edu,0
3649,15849,5342,state university new york institute technology utica/rome,united states,utica,new york,http://www.sunyit.edu,new paltz state university new york,united states,saugerties,new york,newpaltz.edu,0
3672,15850,26967,state university new york maritime college,united states,new york,new york,http://www.sunymaritime.edu,new york university,united states,new york,new york,stern.nyu.edu,0
3678,15850,13546,state university new york maritime college,united states,new york,new york,http://www.sunymaritime.edu,new york university,united states,new york,new york,stern.nyu.edu,0
3685,15850,19793,state university new york maritime college,united states,new york,new york,http://www.sunymaritime.edu,new york university,united states,new york,new york,stern.nyu.edu,0
3689,15850,6543,state university new york maritime college,united states,new york,new york,http://www.sunymaritime.edu,new york university,united states,new york,new york,stern.nyu.edu,0
3700,15850,1228,state university new york maritime college,united states,new york,new york,http://www.sunymaritime.edu,new york university,united states,new york,new york,stern.nyu.edu,0
3755,15886,57764,stockholm university,sweden,stockholm,,http://www.su.se,stockholm school economics,sweden,stockholm,,hhs.se,0
3775,15971,56459,superior university,pakistan,lahore,punjab,http://www.superior.edu.pk,superior university,pakistan,lahore,,superior.edu.pk,1
3782,4439,30432,swiss federal institute technology zurich,switzerland,zurich,,http://www.ethz.ch,swiss federal institute technology lausanne,switzerland,lausanne,,epfl.ch,0
3799,16025,19310,academy music dramatic arts southern denmark,denmark,odense c,,http://www.sdmk.dk/,university southern denmark,denmark,kolding,,sam.sdu.dk,0
3800,16025,31638,academy music dramatic arts southern denmark,denmark,odense c,,http://www.sdmk.dk/,university southern denmark,denmark,odense,,sam.sdu.dk,0
3810,16026,19310,university southern denmark,denmark,odense,,http://www.sdu.dk,university southern denmark,denmark,kolding,,sam.sdu.dk,1
3818,16035,648,syracuse university,united states,syracuse,new york,http://www.syr.edu,syracuse university,united states,syracuse,new york,syr.edu,1
