s_id,s_search,p_title,p_author,p_award,p_abstract,p_search
1124,Professionals|| Decision-Making|| Physician Practices,1|Structuring Uncertainty in Shared Medical Decisions,"1|Laurel C. Austin|Copenhagen Business School||2|Susanne Reventlow|The Research Unit and Dept of General Practice, Institute of Public Health, U. of Copenhagen||3|Peter Sandoe|Danish Center for Bioethics and Risk Assessment, U. of Copenhagen||4|John Brodersen|The Research Unit and Dept of General Practice, Institute of Public Health, U. of Copenhagen||",,"Historically, shared medical decisions concerned treatment of undesirable symptoms.  Increasingly, these decisions concern interventions to prevent possible future undesirable health states.  The more uncertainty there is about a persons health status, the less expected benefit can be derived from even the most effective treatment.  We construct a taxonomy of five types of medical decision situations that encompass systematically different sources of uncertainty.  For each, we identify sources of uncertainty that should be considered when assessing the degree of belief that a person has, or will have, a condition. The five situations involve: 1) assessing the symptomatic patient; 2) assessing someone for an asymptomatic condition; 3) assessing someone for risk of a future condition; 4) simultaneously assessing multiple risks factors; and 5) considering a population-based prevention intervention (e.g., vaccination).       We show that if decision makers behave as though an asymptomatic condition or risk factor decision is structurally the same as the symptomatic or population-prevention decision, they may systematically overestimate the degree of belief that a person has, or will have, a condition and therefore systematically overestimate an interventions expected benefit.  We suggest this may explain the recent outcry in the USA over recent recommendations to reduce the frequency of breast and cervical cancer screenings.  We consider other implications of misunderstanding which decision situation a person faces.  This conceptual framework can aid medical professionals in thinking about and communicating about preventive assessment and intervention.",decision making| uncertainty| health
1124,Professionals|| Decision-Making|| Physician Practices,2|Policy and Professional Projects: The Case of Community-Based Mental Health Teams,1|Michael Barrett|U. of Cambridge||2|Conor J Farrington|Judge Business School||3|Tom McCabe|Judge Business School||4|Eivor Oborn|U. of London||,,"Organizational and sociological literature on professions has traditionally emphasised the ways in which elite occupational groups engage in professional projects, seeking to establish their professional status by drawing exclusive boundaries around areas of knowledge, expertise, and work. Less well understood, however, is the extent to which professional projects are shaped and influenced by government policy interventions, especially in relatively weak professions such as nursing and social work. This paper seeks to fill this gap by examining policy-driven professional projects in the field of mental health. More specifically, this paper will analyse policy and professional projects in the context of English National Health Service policy and practice as it relates to the emerging professions of nursing and social work in the context of community-based, multi-disciplinary mental health teams. The paper builds on this analysis to contribute to the conceptualisation of policy-driven professional projects more generally.",professions| nursing and social work| mental health
1124,Professionals|| Decision-Making|| Physician Practices,3|Bias in White: Racial Health Disparities and Statistical Discrimination,1|Brian Rubineau|Cornell U.||2|Yoon Kang|Cornell U.||,,"Statistical discrimination explains disparities as the result of empirically-based rather than prejudicially-motivated decision-making. The empirical requirements for statistical discrimination entail clear and testable predictions. Only changes in empirical information will change statistical discriminators discriminatory behavior. If discriminatory behavior changes absent concordant changes in empirical information, those changes cannot be attributable to statistical discrimination. We show this type of theory-violating behavior for a phenomenon that has often been explained using statistical discrimination  racial disparities in patient care. Using data from a natural longitudinal audit study, we measure the disparities generated by the possible statistical-discriminators-to-be (i.e., medical students) and test for changes in the disparities they generate.  Where statistical discrimination would predict the opposite, we find a significant increase in the disparities generated by medical students between their first and second years. This large and rapid change in discriminatory behavior absent an empirical basis challenges the idea that statistical discrimination is primarily responsible for racial disparities in care. We discuss some alternative theories of racial disparities in care, and their ability to explain the large change we observe.",statistical discrimination| audit study| racial disparities
1272,Turnover,1|A Moderated Mediation Model of the Relationship between Discretion and Turnover Intentions,"1|Ariel C. Avgar|U. of Illinois, Urbana-Champaign||2|Kiwook Kwon|U. of Illinois, Urbana-Champaign||3|Niti Pandey|Purdue U.||",,"This paper examines the relationship between employee discretion and turnover intentions. We test the proposition that this relationship is mediated by employee stress and moderated by employee perceptions of staffing adequacy. We maintain that in assessing the potential effects of increased employee discretion, scholars must also examine the mechanisms through which these benefits are delivered, and the context in which it is provided. In an effort to study discretion in context, we develop and test a moderated mediation model in the healthcare setting. Our findings support the hypotheses that employees stress mediates the relationship between discretion and turnover intentions. In addition, employee perceptions of staffing adequacy are shown to moderate the relationship between employee discretion and stress.",discretion| stress| turnover
1272,Turnover,2|A Multilevel Investigation of Turnover Intention Antecedents,1|Wan-Jing April Chang|National Hsinchu U. of Education||2|Yung-Shui Wang|China U. of Technology||3|Tung-Chun Huang|Ching Yun U.||,,"Previous research on employee turnover intention has focused mostly on a single level of analysis. This multilevel study of 1,149 employees and 144 managers from a home improvement retail chain in Taiwan with 21 stores demonstrates that individual- and store-level factors were significantly associated with employee turnover intention: job characteristics explain the within-store variance, and compensation, transformational leadership, age similarity and tenure similarity of employees explain the between-store variance, as well as the interaction of job characteristics with training and development. Theoretical and practical implications of the research are also discussed.",turnover intention| job characteristics| hr practices
1272,Turnover,"3|High Performance Work Systems In Low-Wage America: Industry Wages, HRM and Employee Turnover","1|James P. Guthrie|U. of Kansas||2|Deepak K Datta|U. of Texas, Arlington||3|Preeti Wadhwa|U. of Kansas||",,"This study explores the impact of high-performance work systems (HPWS) on both voluntary and involuntary employee turnover. Guided by contingency theory, we examine whether industry wage rates moderate the relationship between HPWS and firm-level measures of voluntary and involuntary turnover. Our findings suggest that the impact of HPWS on voluntary turnover is more pronounced in industries with relatively lower wage rate, resulting in significant reduction of voluntary turnover. The effect of industry wage on the relationship between HPWS and involuntary turnover was not significant. Our results advance the extant research by identifying an important contingent factor that may affect the strength of the HPWS - turnover relationship across industries. Word Count: (109)",high performance work systems| turnover| industry wages
1277,knowledge|| organizational learning,1|Rethinking the Nature of Knowledge for Management Research:  Implications for SHRM,"1|Derrick McIver|U. of Texas, San Antonio||2|Indu Ramachandran|U. of Texas, San Antonio||3|Mark L. Lengnick-Hall|U. of Texas, San Antonio||4|Cynthia A. Lengnick-Hall|U. of Texas, San Antonio||",,"The knowledge-based view suggests that the foundation of an organizations strategy lies in its ability to generate, combine, recombine, and exploit knowledge.  Over the evolution of this stream of research, models have been designed around conceptualizing two distinct types of knowledge: tacit and explicit.  The focus is then on how to convert tacit knowledge into explicit knowledge. Tsoukas (2003) contested the idea of two types of knowledge. Reflecting Polanyis (1966) conceptualization of tacit and explicit as two interdependent dimensions of knowledge, he argues that all knowledge contains at least some tacit component.  We argue that strategic human resource management research would benefit from focusing on what sociologists call working knowledge or knowledge-in-practice rather than trying to distinguish tacit from explicit knowledge. We propose a typology of knowledge-in-practice that reflects varying dimensions of tacitness and learnability.  This reconceptualization makes several contributions to strategic human resource management research.  First, by clarifying the misunderstanding involving the two types of knowledge, we explain how this leads to inadequate theories and practice. Second, we create a refocused dimensional understanding of the knowledge construct based on Polanyis (1966) original work, which we believe effectively re-directs the focus from knowledge conversion, to the learnability and/or leverageability of knowledge involved in organizational practices. Third, we articulate the implications of this refocused dimensional understanding for strategic human resource management and management research in general. The implications for strategic human resource management, we argue, becomes how to manage human capital by understanding how knowledge-in-practice is acquired, developed, and retained.",knowledge management| strategic human resource management| tacit knowledge
1277,knowledge|| organizational learning,2|Using Team-Based HRM Systems and Empowering Leadership to Support Knowledge Acquisition and Sharing,1|Chih-Hsun Chuang|national U. of tainan||2|Susan E. Jackson|Rutgers U.||3|Yuan Jiang|Indiana-Purdue||,,"Using a sample of 172 knowledge-intensive teams, the current study simultaneously examined the impacts of team-based HRM systems and empowering leadership on team knowledge acquisition and sharing, and explored knowledge tacitness as a moderator. Team-based HRM systems were found to be positively related to knowledge acquisition and sharing, and knowledge tacitness moderated the relationship between HRM systems and knowledge acquisition. Further, teams led by more empowering leaders engaged in more knowledge sharing regardless of the degree of knowledge tacitness, even without strong team-based HRM systems. The positive relationship between empowering leadership and knowledge sharing was stronger when team-based HRM systems and high degrees of knowledge tacitness were present.",knowledge acquisition and sharing| hrm systems| empowering leadership
1277,knowledge|| organizational learning,3|HR Issues in Post-Acquisition Integration: A knowledge-based approach,1|C Lakshman|Bordeaux ecole de Management||,,"This paper proposes a knowledge-based theoretical approach to cultural/organizational integration in mergers and acquisitions (M&A).  The model proposed in this paper aims to examine the nature and features of the integration process using a knowledge lens to view the cultural/organizational integration mechanism, leading to integration effectiveness.  Drawing from advances in the acquisition, strategic HRM, knowledge management and leadership literatures, the model identifies knowledge-leadership, cultural knowledge integration, early involvement in integration process design, and variables related to causal ambiguity, under the rubric of a relational (or cooperative) HR archetype, as key components of an effective set of practices for integration in these contexts.  The model explains the processes through which these constructs impact integration effectiveness.  The paper discusses contributions of this approach, limitations, and directions for future theoretical and empirical research.",hr practices| integration| m&a
1291,work-family balance|| work-life balance,1|Pay Satisfaction and Work-family Conflict across Time,"1|Devasheesh P. Bhave|John Molson School of Business, Concordia U.||2|Amit Kramer|U. of Illinois - Urbana-Champaign||",,"In this study we propose that the employee experience of pay, specifically pay satisfaction, is associated with work-family conflict (WFC) according to spillover and exchange theories. Using two waves of data, we find that change in pay satisfaction has a statistically significant and negative relationship with change in WFC. A finer-grained analysis reveals the facets of satisfaction with benefits and pay structure are significantly and negatively related to WFC whereas satisfaction with pay level and pay raise are not. We also examine the role of perceived job inputs in moderating the pay satisfaction-WFC relationship. We find that the non-job related input of number of children and the job-related input of education both moderate the relationship between pay satisfaction and WFC. Research and practical implications are discussed.",pay satisfaction| work family conflict| multilevel
1291,work-family balance|| work-life balance,2|Telework and the Activation of Organizational Identification: Examining Impacts on Work Outcomes,1|Timothy Golden|Rensselaer Polytechnic Institute||,,"While evidence is growing suggesting telework and other forms of virtual work may impact work outcomes, literature has been slow to investigate how these impacts may occur. In this study we therefore examine the role of organizational identification in an effort to understand how telework alters work outcomes. Results suggest organizational identification plays an important intervening role reflecting the teleworkers changed view of their relationship with the organization, spurring changes in work outcomes. We also find that the explanatory role of identification in the telework context is not universal, highlighting the need for further study.",telework| telecommuting| virtual work
1291,work-family balance|| work-life balance,3|How Important Are Work-Family Support Programs? A Meta-Analysis of Their Effects on Work Outcomes,"1|Marcus M. Butts|U. of Texas, Arlington||2|Wendy J. Casper|U. of Texas, Arlington||3|Tae Seok Yang|U. of Texas, Arlington||4|Nicole Lucas|U. of Texas, Arlington||",,"This study reports a meta-analytic investigation of the effects family-related support programs have on job attitudes and performance. Further, we provide a theoretical framework detailing how the psychological mechanisms underlying program use versus the mere provision of work-family programs differ from one another. Meta-analytic structural equation results demonstrated that work-to-family conflict and perceived organizational family support mediated the effects on attitudinal and performance outcomes. Additionally, we provide evidence of the moderating effects of program breadth and sample characteristics.  We conclude with theoretical implications and practical considerations for the future of human resources management in light of the demographically changing workforce.",meta-analysis| work-family policies| dependent care
1292,recruitment|| job choice,1|What Job Seekers Know vs. Think They Know: Effects of Familiarity on Employer Inferences & Choices,1|Cynthia Kay Stevens|U. of Maryland||2|Lisa Dragoni|Cornell U.||3|Meredith F. Burnett|Florida International U.||,,"We explored the content, structure, and accuracy of job seekers inferences and their implicit theories about employers who varied in familiarity.  New labor market entrants rated their familiarity with actual employers and then compared them in pairs, choosing which was more attractive as an employer and why.  Results indicated that firm names and industries influenced preferences for unfamiliar firms, whereas prior awareness and perceived reputation affected preference for familiar firms.  Respondents chose familiar over unfamiliar firms in 75% of comparisons, and were equally likely to draw inferences about firms regardless of their familiarity.  However, respondents drew fewer false objective inferences per firm when they rated themselves as more (.42) rather than less familiar (.78) with the firm, and they drew fewer false objective inferences for chosen (.14) than non-chosen firms (.41).  These findings suggest that although new labor market entrants may draw fewer false inferences about chosen familiar firms, they may discount unfamiliar firms for invalid reasons.",job search| recruitment| job choice
1292,recruitment|| job choice,2|Why are job seekers attracted to socially responsible companies? Testing underlying mechanisms,1|David A. Jones|U. of Vermont||2|Chelsea Willness|U. of Saskatchewan||3|Sarah Madey|U. of Vermont||,,"Research shows that job seekers tend to be more attracted to organizations that are known for their corporate social responsibility (CSR); however, few studies have included direct tests of mechanisms that may explain this relationship. Using data from 171 job seekers who attended job fairs, we tested three hypothesized mediators of the relationship between job seekers perceptions of CSR and their evaluations of organizational attractiveness: perceived value-fit, employer prestige, and expectations about employee treatment. Results showed that job seekers perceptions of an organizations CSR relating to its environmental and community-focused practices explained variance in organizational attractiveness beyond the effects of other variables (e.g., location favorability, job offer expectancy). Results from structural equation modeling showed support for all three mediating mechanisms that explain why job seekers are attracted to organizations known for CSR. We discuss the implications of our findings for theory, research, and practice.",recruitment| corporate social responsibility| organizational attractiveness
1292,recruitment|| job choice,3|Effects of Prestigious Job Titles in Recruitment Advertisements: A Model and its Empirical Test,1|Klaus J. Templer|Nanyang Technological U.||,,"Based on self-theories, the instrumental-symbolic framework, the signaling construct, and expectancy theory, a process model was proposed that describes, explains, and predicts how and why prestigious job titles in job advertisements evoke in potential applicants higher job expectations and higher intention to apply. In study 1, participants were 456 undergraduate students as potential applicants for a salesperson part-time job; in study 2, participants were 206 salespersons employed in shopping malls. Both groups expressed higher job expectations if the job was advertised with a prestigious title. Study 1 participants also expressed higher intention to apply, but salespersons already employed in a similar job did not. Job expectations mediated the relationship between job title and intention to apply. The results led to a revision and refinement of the model. Managerial implications for recruitment practice are discussed.",recruitment| job title| applicant reactions
1293,downsizing|| terminations,"1|The Implications of Magnitude, Timing, and Realization of Workforce Downsizing on Firm Profitability",1|Matthias F. Brauer|U. of St. Gallen||,1|Carolyn Dexter Award Nominee||,"Prior studies on workforce downsizing have commonly compared the performance of firms that downsize with the performance of firms that do not downsize. However, in the presence of a serious performance downfall, declining demand, or external institutional pressures, workforce downsizing sometimes cannot be avoided. Therefore, the primary question for most companies is not whether or not to downsize but rather how to downsize successfully. So far, however, few empirical studies have focused on the internal characteristics of the downsizing process that influence the relationship between workforce downsizing and organizational performance. Our study addresses this gap by analyzing the effects of magnitude, timing, and realization of workforce downsizing on downsizing firms subsequent financial performance. Based on an analysis of the workforce downsizing actions by the largest European firms (Eurostoxx 50/Stoxx50) between 1996 to 2006, we find that the relationship between the magnitude of workforce downsizing and subsequent firm profitability is non-linear. Counter intuitively, however, the relationship is not inverted U-shaped but U-shaped. Further, findings suggest that this relationship is enhanced by the early timing of the downsizing and weakened by the use of divestitures for realizing the workforce reduction.",downsizing| firm profitability| timing
1293,downsizing|| terminations,2|Employee Reactions to Termination Interviews: Effects of Landmine Phrases and Mentioning Positives,1|Steven J. Karau|Southern Illinois U. Carbondale||2|Sean Walker|Southern Illinois U. Carbondale||,,"Despite the everyday importance of terminations, little research has examined how different termination interview practices affect employee reactions. Two scenario-based experiments examined how statements made during the termination affected various perceptions and reactions. Experiment 1 found that mentioning positive contributions of the employee, as well as making organizationally-focused and managerially-focused statements, increased positive perceptions of the termination interview. Experiment 2 found that managers expressing low levels of empathy evoked highly negative reactions, whereas those expressing high levels of empathy produced some positive reactions. These results suggest that the manner in which termination interviews are conducted has several important consequences.",landmine phrases| termination interviews| employee reactions
1293,downsizing|| terminations,3|Don't Let Knowledge Walk Away: Knowledge Retention During Organizational Downsizing,1|Achim Schmitt|Audencia School of Management||2|Stefano Borzillo|CERAM||3|Gilbert Probst|U. of Geneva||,,"While organizational downsizing is a popular strategy in todays business environment, the theoretical debate on this phenomenon is divergent: some scholars consider organizational downsizing beneficial to operational effectiveness, whereas others question whether this strategy improves a firms long-term performance. Among others, the literature holds the potential damage that organizational downsizing may do to organizational learning accountable for this misperception. In this paper, we build on these tensions and develop a comprehensive framework that explores the relationships between organizational downsizing and knowledge retention. By holding distinct organizational levels responsible for knowledge retention, we derive propositions that contribute to a better understanding of how firms can avoid critical knowledge losses during downsizing efforts. The theoretical and practical implications are discussed.",organizational downsizing| organizational memory| knowledge retention
1294,Strategic HR|| Firm Performance,1|Impact of HRM capabilities on the productivity of manufacturing SMEs:A contingency approach,1|Bruno Fabi|U. du Quebec a Trois-Rivieres||2|Richard Lacoursiere|U. du Quebec a Trois-Rivieres||3|Louis Raymond|U. du Quebec a Trois-Rivieres||4|Josee St-Pierre|U. du Quebec a Trois-Rivieres||,,"In this paper we assume that the entrepreneurial capability of SME owner-managers is reflected in the choices they make in terms of human resource management (HRM), research and development (R&D) and advanced manufacturing technologies (AMT). However, to what extent do managerial choices made in these areas affect the performance of SMEs? And to what extent do the interactions of HRM capabilities with R&D and AMT capabilities also affect the performance of these enterprises? In order to answer these questions, an empirical study was conducted among 182 Canadian SMEs. Emanating from a perspective based on contingency theory, the results of this study indicate that the development of HRM capabilities allow SMEs not only to improve their productivity but also to significantly amplify the effect of R&D and AMT capabilities on this same productivity.",human resource management| small business| productivity
1294,Strategic HR|| Firm Performance,2|Low Performance Work Systems? The Deleterious Effects of Formal HRM on Small Firm Labor Productivity,"1|Clinton Chadwick|U. of Alabama, Huntsville||2|Sean A. Way|Cornell U.||3|Gerry Kerr|U. of Windsor||4|James W. Thacker|U. of Windsor||",,"We propose that managerial attention is a critical limited resource for small firms and that informal HRM can be more effective than formal HRM in small firms. In support of these assertions, we find a robust negative relationship between formal HRM systems and labor productivity within a sample of Canadian small firms. Additionally, we find that differentiation strategy magnifies this negative relationship, whereas capital intensity, firm age, industry growth, and industry dynamism mitigate this negative relationship. Thus, our findings rebut the view that formal HRM systems universally enhance firm performance.  Implications for small firms and for strategic HRM are discussed.",strategic hrm| strategic contingencies| small business
1294,Strategic HR|| Firm Performance,"3|HIRING FOR STRENGTH, HIRING FOR WEAKNESS: Evidence of Internal Strategic Fit from the NFL",1|Andrew Hill|Harvard U.||,,"Upper echelons research explores the sources and implications of fit between the competitive context of the firm and the characteristics of senior management. A firms performance depends on a combination of activities, and most firms are not equally proficient in all areas. Some CEOs are hired for weakness (functional background is in an area of lagging firm performance). Conversely, others are hired for strength. Examining the hiring of NFL head coaches, this paper finds that CEOs hired for weakness underperform those hired for strength, and that the difference is moderated by whether the hire is an insider or outsider.",upper echelons| person-organization fit| human capital
