s_id,s_search,p_title,p_author,p_award,p_abstract,p_search
1374,Philosophy of Science|| Research Design|| Quantitative Research,2|Advantages of Baseline Models: Lessons from Research about Developing Economies and Emerging Markets,1|Andreas Schwab|Iowa State U.||2|William H. Starbuck|U. of Oregon||,,"This paper builds on a discussion in the 1960s among agricultural economists about the value of baseline models for research investigations. Meaningful baseline models can both raise the theoretical and practical relevance of empirical research and help researchers to develop better theories. Because the 1960 debate focused on research about a developing economy, this paper investigates the use of baseline models in empirical studies of developing economies and emerging markets. However, we have looked at research in other topics and we are confident that the patterns described here have been occurring throughout the social sciences and business studies.Our investigation reveals more frequent use of baseline models, especially since 2000. We attribute this trend to several potential advantages: (1) Baseline models can raise the standards for identifying substantively important findings. (2) Baseline models can help researchers identify defects in their explanatory theories. (3) A sequence of baseline models can progress, step by step, from a more naive understanding toward more comprehensive understanding of studied phenomena. (4)  Baseline models challenge the notion that researchers ought to only ""test"" their explanatory theories and instead encouraging researchers to learn more and to create better theories. The fundamental nature of these advantages strongly suggests that baseline models deserve more serious attention outside of the field of emerging market research.",hypothesis testing| theory development| baseline models
1374,Philosophy of Science|| Research Design|| Quantitative Research,"3|Two Types of Mediation, Two Types of Theories: Embracing the Complexities of Mediation Analysis",1|Amit Gal|Tel Aviv U.||,,"Causal mediation analyses have become ubiquitous in quantitative management research. But recent criticism suggests that such analyses in designs that do not experimentally manipulate the mediator variable may be flawed. Given that much of management research is observational, we offer a conceptual refinement of mediation that allows embracing the criticism within the constraints of the field. We take a counterfactual approach to mediation, and ask what would happen to the outcome if the mediator is changed through an intervention. By carefully considering the potential answers to this hypothetical question we differentiate two nuanced types of mediation, which we term descriptive and explanatory. These types are linked to the concept of descriptive and explanatory theories. We discuss the conceptual and theoretical implications of this distinction and suggest a method for discerning between the two types that is applicable to observational data.",path dependency| causality| mediation
1376,Professional Services Firms|| Management of Consulting Firms|| Professionalization,1|The Future is in your Reputation: The Effect of Reputation on the Diversification of PSFs,1|Anna Christina Littmann|EBS Business School||,1|Winner of the Information Age Publishing Outstanding Doctoral Student Paper Award||,"This paper provides an assessment of reputation as an antecedent of diversification in Professional Service Firms (PSFs). Drawing on the resource-based view of the firm, we argue that reputation is an important resource of PSFs and impacts the degree and the direction of their diversification. We test our arguments using a sample of 326 firm-year observations of 50 large and medium-size PSFs active in Germany. Our results confirm the significance of reputation as a driver of firm diversification. Furthermore, we find that a PSFs decision which service lines to enter depends on the reputation of related business lines the firm is already active in.",diversification| reputation| professional service firms
1376,Professional Services Firms|| Management of Consulting Firms|| Professionalization,"2|An Exploration of Relational Routines, Coordination, Knowledge Management and Innovation in PSFs",1|Na Fu|Dublin City U.||,1|William H. Newman Award Nominee||,"Adopting a relational perspective, this paper explores how relational routines and relational coordination influence organizational knowledge management capability which in turn has a positive effect on innovation. The research context is the professional service firms (PSFs) where work done by teams requires effective relationships to facilitate knowledge creation, exchange and combination. Based on the resource-based view of the firm, the positive links are proposed between relational routines, i.e. the informal practices allowing people to know each other and the organization, and the relational coordination, i.e. the timely, accurate and goals-sharing communication during interactions, with innovation. However, resources in themselves do not translate into valued firm outcomes - their effective use is required to do so (Barney & Arikan, 2001; Schultz, 1961; Sirmon, Hitt, & Ireland, 2007). Taking a dynamic theory perspective, I propose and investigate knowledge management capability as a mediator in the relationships of relational routines  innovation and relational coordination  innovation. Using data collected from 120 accounting firms in Ireland, the sufficient and consistent support was found for the proposed linkages model of relational routines -> relational coordination -> knowledge management capability -> innovation. It indicates that organizations that have more relational routines experience more effective relational coordination which in turn creates organizational knowledge management capability and then improve organizational innovation. The implications and limitations of the findings are discussed.",relationships| professional service firms| knowledge management capability
1376,Professional Services Firms|| Management of Consulting Firms|| Professionalization,3|The Impact of Gender in Shaping Consultancy Careers and Flexibility in the UK and USA,1|Rory Donnelly|U. of Birmingham UK||,,"Consultants are a key group of knowledge workers. Interest in the work and organizational environment in which they operate has intensified over recent years. However, the gender regime views and experiences of these workers remain unclear. This article examines the organization of careers and flexibility from the perspective of consultants in two case study firms in the UK and the USA. The findings from this study shed light on the gendered nature of career and flexibility patterns in these settings and the role of individualization in reinforcing these patterns. Moreover, the findings highlight the need for the structures and policies supporting women and flexible working in these types of firms to be revised accordingly, particularly given that these measures may be recommended to clients nationally and internationally.",consultancy| gender| flexibility
1378,,1|Leading Unpopular Changes With Fair Proces: Towards a Strategic Process Design,1|Bo Vestergaard|act2learn||,,"As a consultant, I consult and train first and second line  managers  whos greatest challenge is demands from the top management that their departments should produce more, perhaps even at a better quality than before, without using more resources while realizing the organizational strategy. It often turns out to be perceived as very difficult and unpopular change processes by employees and first and second line managers. Based on research on procedural justice and strategy implementation (Kim and Mauborgne, 1996, 1997) and constructionist communication theories (Pearce, 2007, 2011; Tomm, 1989; Harre and Davies 1990;  Bateson 1972) I develop and present a conceptual framework named fair process with three practical and four theoretical principles for leading these unpopular changes. I then demonstrate fair process in practice with a case from hospital ward. Finally, I present a strategic process design (Pearce, 2011) for creating and managing change processes that aims at involving the employees in developing, testing and implementing solutions to strategic challenges while creating an innovative culture where employees are more prone see solutions to organizational challenges and acting them out in collaboration with management. The conceptual framework and strategic process design is aligned with the findings of Kim and Mauborgne (1997, 1998).",procedural justice| change management| strategy implementation
1378,,2|Utilizing Creative Problem Solving to Formulate Blue Ocean Strategies,1|Sean Lux|U. of South Florida||2|Nathan Schwagler|U. of South Florida||,,"Blue Ocean Strategy enables managers and entrepreneurs to develop value innovations through the Four Actions Framework. Blue Ocean Strategy formulation focuses on eliminating, reducing, raising, or creating features to an existing product or service in order to make the product attractive to non-customers. After years of teaching and facilitating Blue Ocean Strategy formulation sessions, we have observed that participants often have difficulty in the create new features action. We assert that applying the Creative Problem Solving (CPS) process is a more effective and reliable means of developing new product features as part of the Four Actions Framework. We describe how educators and practitioners can facilitate CPS sessions as part of formulating new Blue Ocean Strategies.",blue ocean| creative problem solving| strategy formulation
1378,,3|Contextual Mapping: A Consulting Intervention for Getting Clients on the Same Page,1|Daniel R Kowalski|Kowalski Consulting and Management LLC||2|Rita Kowalski|Work Life Consulting LLC||3|Joel I Harmon|Fairleigh Dickinson U.||,,"Management consultants constantly search for faster and better ways to analyze the causes of complex organizational problems and fully engage the client system in powerful discussions to achieve useful and sustainable solutions.  This paper uses four case stories to illustrative the process, value, and theory-reinforcing foundations of a relatively simple contextual mapping intervention  a qualitative, visual tool depicting the client organizations presenting issues (both objective and emotional) in the actual words of its members in a way that a report may be unable to convey as easily or powerfully.  The process draws from multiple streams of literature: organization learning and change, action science/research, and adult learning.  It involves converting themes uncovered through interviews with a cross section of organization employees into a tentative graphic depiction of these issues, followed by a feedback session involving inquiry, testing and confirmation, and a discussion of next steps focused on the underlying drivers of the issues identified. Successfully using the intervention requires that consultants adopt an authentic listening, non-expert mindset to create a partnership with members of the client organization that can illuminate deeper organizational issues.  Lessons gained from applying the context-mapping intervention, and the implications for theory and practice are discussed.",organization consulting| diagnosis| intervention
1379,Competencies|| Internal Consulting|| Evaluation of Consulting,1|Becoming an Expert: Transfer and Generation of Expertise in Student Consulting Process,"1|Dmitry Khanin|California State U., Fullerton||2|Atul Teckchandani|California State U., Fullerton||",1|Winner of the Management Consulting Division Outstanding Field Report Paper Award||,"Problem-based learning (PBL) is defined as challenging students with ill-structured problems that defy simple, formulaic solutions while limiting the role of instructor to that of a facilitator. In contrast, we contend that due to complexity and enhanced responsibility associated with SBI-guided student consulting assignments, instructors need to focus on their role as experts responsible for the process of expertise transfer and generation through student-instructor interaction.",problem-based learning| consulting| expertise
1379,Competencies|| Internal Consulting|| Evaluation of Consulting,2|Leading Change from the Middle,1|Jean E. Neumann|Tavistock Institute||2|Kim Turnbull James|Cranfield U.||3|Russ Vince|U. of Bath||,,"This study focuses on complex circumstances and defining characteristics of leading change as a middle manager. People in such roles are increasingly expected to lead organizational change as a normal part of their job. The paper draws on institutional theory and systems psychodynamic theory. The authors intend the resulting conceptual framework to increase understanding about the emotional and institutional challenges for middle managers as internal agents for change. Data gathered from 25 UK managers (representing 15 organizations) contribute substantially to this exploratory study. Three overarching issues emerged from an analysis of the data: (1) middle managers feel uncertain while having to show certainty about change; (2) leading change from the middle is prone to ambivalent authorization; and, (3) middle managers are expected to implement change without knowing how to intervene in the complex practical, emotional and political dynamics interwoven with attempts to lead change. The authors summarize two contributions to knowledge. Firstly, an understanding of collective emotions at work is shown to be important to middle managers potential effectiveness as internal change agents. Secondly, this pilot research begins a process of generating insights about some specific emotional and political dynamics that constrain and enable middle managers purposive action on leading change. From this apparent complexity, the authors derive questions about how both external and internal consultants prepare themselves and their clients to support managers in leading from the middle.",emotions| authorization processes| internal change agents
1379,Competencies|| Internal Consulting|| Evaluation of Consulting,3|The Clients Evaluation of the Process of Consultation,1|Elsbeth Reitsma|Free U.||,,"In this study we want to learn more about  clientconsultant interaction. We see interaction here on the micro-level: the patterns of actions and reactions of consultants and clients in their conversation during two specific stages in the consulting process: diagnosis and action planning.  This paper will look for explanations for differences in the clients evaluation of the performance of consultants during the consulting process. These explanations focus on critical moments during the process of interaction between client and consultant.In this study we address the actual behaviour of the consultant leading to success as perceived by the client. We assume that a management consultant in interaction with a client is likely to show behaviour he, or she, feels will lead to success. But does this correspond to the clients perception and the clients expectations? By addressing the clients perception about success, a mutual understanding of success between the client and the consultant can be developed. This can result in a better understanding by consultants of what behaviour (not) to engage in during interaction with clients.The study focuses on the interaction process of 18 different experienced management consultants who are involved in two separate, but very similar, postgraduate training programs. As part of both programs and at the end of the program, the consultants can exercise and experiment with their behaviour. Both consultants and clients go through a process that is very similar to real life. Both contexts have the same characteristics.",consultancy| client-consultant interaction| client's appreciation
1380,,1|Do We Have a Problem?  An Absorptive Capacity Perspective on What Drives Firms to Hire Consultants,1|Sudhir Nair|U. of Victoria||2|Bruce Skaggs|U. of Massachusetts||,,"Managers frequently encounter relevant new information that may necessitate changes in their existing operations.  One option to effect these changes is to engage a consulting service firm to help internalize any new information that they may receive by incorporating them into their existing operations.  While scholars have investigated the processes by which consultants and clients function in addition to the considerable research on how professional service firms themselves ought to be organized, there has been limited empirical analysis of what kind of firms hire consultants.  We survey 277 firms to address this important question and preliminary results suggest that firms that have a higher level of absorptive capacity are more likely to hire a consultant to internalize any new information they receive, which goes against the grain of extant thinking that those firms with limited knowledge assets would seek external help.",consulting service firms| knowledge internalization| absorptive capacity
1380,,2|Client and Consultant Logics on the Purchasing of Consulting Services,1|Frida Pemer|Stockholm School of Economics||2|Tale Skjolsvik|U. of Oslo||,1|Winner of the Thomson South-Western Outstanding Research-Based Paper on Management Consulting||,"Each year, large sums of money are spent in organizations on management consulting services. To increase transparency and control, many organizations have formalized their purchases of consulting services and involved the purchasing department in the process. However, as a large part of a consulting projects success and value creation depends on the cooperation and alignment of expectations in the early purchasing phases, the formalization has been criticized for being too goods-oriented and not taking service characteristics into account. This paper explores how organizations deal with these conflicting demands by investigating the purchasing logics consultants, purchasing professionals and clients express. By drawing on qualitative interviews and observation it is shown that purchasing professionals express a transactional logic and consultants a relational logic, thus creating a situation of inter-organizational misalignment and risk of lower value creation. The clients however express both logics, thereby increasing the risk for intra-organizational misalignment, internal conflicts and maverick buying. The duality of logics enables clients to have an important role as weight in the organization, who by their actions can help reduce or increase the misalignments.",management consulting| purchasing| logics
1380,,"3|Trust as a ""Leap of Faith"": Trust Granting","1|Natalia Nikolova|U. of Technology, Sydney||2|Markus R. Reihlen|Leuphana U. Lueneburg||",1|Carolyn Dexter Award Nominee||,"Trust is widely regarded as a critical success factor in client-consultant relationships. While existing research investigates different modes of trust, little is known about the social processes and practices associated with the creation, maintenance, and destruction of trust in client-consultant relationships. Based on an empirical study of clients and consultants in Australia, we develop an empirically grounded theory explaining clients and consultants perceptions of the process of granting trust to consultants. We argue that trust does not emerge simply as a result of consultants competence, experience, skills and reputation or based on their personal rapport with a client but that these characteristics and skills are put to work in a client-guided and client-centred process that leads to the development of favourable process and outcome expectations. We suggest that consultants use of client-focused impression management techniques can enable clients to suspend their uncertainty when engaging a consultant.",management consultancy| trust| client-consultant-interaction
1387,Cooperation|| Industry Development|| Stewardship,1|Distant mirrors:  railroad development and management in America and Australia from 1860 to 1914,1|Bradley G Bowden|Griffith U.||,1|John F. Mee Award for Paper with the Best Management History Division Contribution||2|Carolyn Dexter Award Nominee||,"This paper explores Chandlers claim that it was in the railroads that management first became both a science and an art, laying the basis for a managerial revolution that transformed American business. It does so by comparing American and Australian railroad development and management between the Civil War and 1914. It finds that although America was exceptional for the scale of its railroad investments, and for the size and complexity of its railroad companies, the case for superior railroad management is contradicted. In times of crisis, American railroad managers were generally unable to improve their revenue-working expense ratios. By comparison, Australian managers achieved remarkable operating cost reductions.",chandler| railroads| exceptionalism
1387,Cooperation|| Industry Development|| Stewardship,2|Entrepreneurial Stewardship and Implicit CSR: The Responsible Leadership of Lillian Shedd McMurry,"1|John Humphreys|Texas A&M U., Commerce||2|Stephanie Pane-Haden|Texas A&M U.||3|Mario Hayek|Texas A&M U., Commerce||4|Jacqueline Einstein|Nova Southeastern U.||5|Jason Fertig|U. of Southern Indiana||6|William Paczkowski|Rensselaer Polytechnic Institute||7|David Weir|U. Campus Suffolk||",1|Center for Ethical Business Cultures Halloran Award for Best Management History Division Paper in Business Ethics||,"Although interest in the implications of ethical stewardship, responsible leadership, and corporate social responsibility (CSR) is mounting, research development of these concepts is still at a nascent stage with critical issues regarding frameworks yet to be resolved. Regrettably, much of the current research has focused solely on macro concerns, largely ignoring the significant micro level leadership questions. In addition, the preponderance of the emerging literature in these domains has fixated on large corporations, ignoring the realities of most entrepreneurial ventures and small and medium-sized enterprises (SMEs). In the smaller entrepreneurial setting, we argue that current interpretations of what constitutes ethical stewardship and socially responsible leadership should be adapted. Towards this aim, we examined the historical case of Lillian Shedd McMurry, the extraordinary entrepreneurial leader of Trumpet Records, a 1950s independent record label, to define entrepreneurial stewardship and identify specific elements inherent within the role of entrepreneur as ethical steward and socially responsible leader.",ethical stewardship| entrepreneurial leadership| csr
1387,Cooperation|| Industry Development|| Stewardship,3|Upward Defiance in Organizations: Management Lessons from the Battle of Blair Mountain,"1|John Humphreys|Texas A&M U., Commerce||2|Jane Whitney Gibson|Nova Southeastern U.||3|Jennifer Oyler|Texas A&M U., Commerce||",,"Based upon an analysis of 30 historic narrative accounts of mutinies, Coye, Murphy, and Spencer (2010) recently extended voice theory to clarify the ontological status of the concept of upward defiance. They proposed a conceptual framework, based on dimensions of perceived injustice to organizational members and barriers to voice, to locate the construct of mutiny in relation to voice theory, thereby enhancing comprehension of defiance in modern organizations. Mutinies, however, can also occur outside of a maritime milieu. One such example is the 1921 Battle of Blair Mountain, which was the largest armed uprising in the United States since the Civil War. We examine this significant insurrection with a practical lens to 1) provide support for and extend Coye et al.s (2010) upward defiance framework, 2) illustrate the process of escalation to hostility, and 3) offer organizational managers guidance on appropriate steps to interrupt the extreme escalation of member resistance.",upward defiance| voice theory| resistance
1387,Cooperation|| Industry Development|| Stewardship,4|From Primary Concept to Prisoner's Dilemma: Tracing Cooperation in Organizational Scholarship,1|Laura Singleton|Eckerd College||,1|William H. Newman Award Nominee||,"The topic of cooperation prominently appeared in early works of management literature and theoryit was referred to by Taylor, Barnard, Mayo and Roethlisberger, among others.  Today, however, most studies of cooperation in the social sciences occur in laboratory settings or computerized modeling schemes based on the prisoner's dilemma game-theoretic approach.  This paper undertakes a systematic study of the evolution of cooperation in the context of organizational literature to explore its journey as a construct through 2005, identifying how resistance to application of the concept in hierarchical organizations combined with research paradigms in psychology to shape the concepts direction and development.",cooperation| barnard| construct development
1388,Leadership|| Diversity,1|Location of Decision Rights in Catholic Church Franchise Systems,1|Thomas Ehrmann|U. of Muenster||2|Katja Rost|Friedrich Schiller U. Jena||3|Emil Inauen|U. of Zurich||,1|Journal of Management History Award for Best International Paper||,"A survey of the historical literature suggests that the global Roman Catholic Church can be viewed as a vertically integrated firm with the Pope as the franchisor and the local clergy as franchisees. The Vatican thereby acts as a holding company for different franchise systems. In the early 13th century, the Church came up with a new organizational innovation, that is, the licensing of religious orders. This article empirically shows that religious orders follow precisely the organizational prescriptions of economics for franchise systems avant la lettre. thereby securing its survival in difficult times. It is argued that religious orders face the problem of controlling the actions of their branch offices to assure the continued value and uniqueness of their trademark. We use the Jensen and Meckling (1995) distinction between specific and general knowledge to analyze the optimal colocation of decision rights within the specific knowledge framework of a religious order. An empirical analysis of 114 local communities of 20 religious orders of the Roman Catholic Church shows that the different orders of the Church decentralize their local communities the higher the ratio of credence goods produced and centralize their local communities located on trade routes and the higher the number of communities administered by the religious order. Finally, orders with higher reformation damages have more decentralized local communities.",franchise systems| religious orders| decision rights
1388,Leadership|| Diversity,2|An Historical Perspective on Diversity Ideologies in the US: Reflections on HRM Research & Practice,"1|Stella M. Nkomo|U. of Pretoria||2|Jenny M. Hoobler|U. of Illinois, Chicago||",,"What is the future of diversity research and practice in HRM?  In this paper, we examine diversity ideologies in the United States across four distinct eras:  white supremacy and sanctioned exclusion of racioethnic minorities before the 1960s, the equal opportunity-Civil Rights era of the 1960s, the diversity management/multiculturalism era of the 1980s and 90s, and todays inclusion/post-race era.  We argue diversity practices and scholarship can be viewed as enactments of the underlying diversity ideology that dominated in a particular era.  Our examination provides insight into how changes in societal beliefs and attitudes about non-dominant racioethnic groups and their status and incorporation into society have influenced the trajectory of diversity practice and research.  Knowledge about this historical linkage then allows us to speculate on the future of diversity research and practice.  Based on a content analysis of the HRM articles published on diversity from 2000-2011, as well as global demographic and political trends, we speculate on what the next era of diversity in HRM may bring.  In sum, this paper reflects upon the critical turns of the 20th and beginning of the 21st centuries as a means of summarizing the evolution of research and practice on workplace racioethnic diversity.",diversity| race| history
1388,Leadership|| Diversity,3|Revisiting Webers Charismatic Leadership: Remaining Questions and Potential Answers,1|Ivana Milosevic|U. of Nebraska||2|A Erin Bass|U. of Nebraska||,1|Sage Publishers Award for Best Management History Division Paper in Leadership||,"Since Weber first introduced charismatic leadership, a broad spectrum of research examined the role, impact, and outcomes of charismatic leadership on matters of organizational relationships and performance. However, in revisiting Webers seminal work, three dimensions of charismatic leadership have yet to be addressed by contemporary theories and research. Weber emphasizes the importance of bureaucracy, followers, and time to charismatic leadership; yet the extant literature either overlooks or underplays the significance of these facets. Thus, the purpose of this paper is to revisit Webers conceptualizations of charismatic leadership and uncover remaining questions not answered by contemporary extant theories and research on charismatic leadership. Consequently, we offer potential answers to the remaining questions of charismatic leadership by introducing the promise of complexity leadership theory.",weber| charismatic leadership| conceptual
1388,Leadership|| Diversity,4|Informal Urban Economy: a Historical Approach of Paris Street-level Prostitution (1870-1914),1|Alexandre Frondizi|Sciences Po||2|Simon Porcher|IAE Paris||,1|Ronald B. Shuman Award for MH Division Best Student Paper||,"How can districts become totally embedded in informal economy despite harsh state regulation? In this paper, we use qualitative and quantitative data to explain the increasing number of clandestine street prostitutes in Paris during The Belle Epoque. We first describe the economics of street prostitution at the time: street prostitutes were young, unskilled and well-paid; they tended to work with pimps that were from the same area and clustered in neighborhoods where they could compete with regulated brothels. We then analyze the externalities of street prostitution. Street prostitutes not only generated profits for themselves but also for a whole bunch of actors, thereby switching the whole local economy to this industry, at the expense of the formal economy.",informal economy| prostitution| history
